H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
fragilis	pallidus	droebachiensis	540629	918916	-0.2591815	-0.2591815	0.004995888	-51.87896	
fragilis	intermedius	droebachiensis	477890	1047632	-0.3734735	-0.3734735	0.003892034	-95.95842	
pallidus	intermedius	droebachiensis	520196	706493	-0.1518698	-0.1518698	0.002555116	-59.43753	
fragilis	purpuratus_SRR7211988	droebachiensis	461543	1277969	-0.469342	-0.469342	0.003632671	-129.2002	
pallidus	purpuratus_SRR7211988	droebachiensis	519184	890506	-0.2634068	-0.2634068	0.002548344	-103.3639	
intermedius	purpuratus_SRR7211988	droebachiensis	604262	767405	-0.1189378	-0.1189378	0.002220853	-53.55499	
fragilis	purpuratus_SRR6281818	droebachiensis	453514	1161660	-0.4384333	-0.4384333	0.003896418	-112.5221	
pallidus	purpuratus_SRR6281818	droebachiensis	512091	801353	-0.2202317	-0.2202317	0.002739106	-80.40277	
intermedius	purpuratus_SRR6281818	droebachiensis	596293	689331	-0.07236797	-0.07236797	0.00228063	-31.73156	
purpuratus_SRR7211988	purpuratus_SRR6281818	droebachiensis	302010	221146	0.1545696	0.1545696	0.002202395	70.18249	
fragilis	pulcherrimus_SRR5767283	droebachiensis	373201	1410336	-0.5815046	-0.5815046	0.003342649	-173.9652	
pallidus	pulcherrimus_SRR5767283	droebachiensis	399915	1072650	-0.4568457	-0.4568457	0.002996473	-152.4611	
intermedius	pulcherrimus_SRR5767283	droebachiensis	449114	953200	-0.3594673	-0.3594673	0.003154957	-113.9373	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	droebachiensis	544785	946834	-0.2695387	-0.2695387	0.003060921	-88.05803	
purpuratus_SRR6281818	pulcherrimus_SRR5767283	droebachiensis	495402	937266	-0.3084204	-0.3084204	0.003002266	-102.7292	
fragilis	pulcherrimus_DRR107784	droebachiensis	322397	1405460	-0.6268244	-0.6268244	0.003168221	-197.8474	
pallidus	pulcherrimus_DRR107784	droebachiensis	343139	1070297	-0.5144612	-0.5144612	0.003037092	-169.3927	
intermedius	pulcherrimus_DRR107784	droebachiensis	387698	951300	-0.4209133	-0.4209133	0.003209777	-131.1347	
purpuratus_SRR7211988	pulcherrimus_DRR107784	droebachiensis	478536	945813	-0.3280636	-0.3280636	0.003169012	-103.5223	
purpuratus_SRR6281818	pulcherrimus_DRR107784	droebachiensis	433689	937114	-0.3672482	-0.3672482	0.003108498	-118.1433	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	droebachiensis	104738	144780	-0.1604774	-0.1604774	0.002508497	-63.97354	
droebachiensis	pallidus	fragilis	515069	918916	-0.2816257	-0.2816257	0.004942395	-56.98163	
droebachiensis	intermedius	fragilis	478641	1047632	-0.3727977	-0.3727977	0.00389471	-95.71898	
pallidus	intermedius	fragilis	534793	699912	-0.1337315	-0.1337315	0.002367476	-56.48696	
droebachiensis	purpuratus_SRR7211988	fragilis	504855	1277969	-0.4336457	-0.4336457	0.004056441	-106.903	
pallidus	purpuratus_SRR7211988	fragilis	567933	880445	-0.2157669	-0.2157669	0.003268753	-66.00893	
intermedius	purpuratus_SRR7211988	fragilis	650768	785331	-0.09370036	-0.09370036	0.003022242	-31.0036	
droebachiensis	purpuratus_SRR6281818	fragilis	499015	1161660	-0.3990215	-0.3990215	0.00432759	-92.2041	
pallidus	purpuratus_SRR6281818	fragilis	561973	787474	-0.1671062	-0.1671062	0.003485355	-47.94525	
intermedius	purpuratus_SRR6281818	fragilis	644506	700396	-0.04155693	-0.04155693	0.003082608	-13.48109	
purpuratus_SRR7211988	purpuratus_SRR6281818	fragilis	324630	231348	0.16778	0.16778	0.002191932	76.54434	
droebachiensis	pulcherrimus_SRR5767283	fragilis	326326	1410336	-0.6241917	-0.6241917	0.003170648	-196.8656	
pallidus	pulcherrimus_SRR5767283	fragilis	372784	1078818	-0.4863826	-0.4863826	0.002953918	-164.6568	
intermedius	pulcherrimus_SRR5767283	fragilis	421366	976890	-0.3972978	-0.3972978	0.003145442	-126.309	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	fragilis	512224	1002146	-0.3235154	-0.3235154	0.00322833	-100.2114	
purpuratus_SRR6281818	pulcherrimus_SRR5767283	fragilis	461519	994424	-0.3660205	-0.3660205	0.003149816	-116.2038	
droebachiensis	pulcherrimus_DRR107784	fragilis	320322	1405460	-0.6287805	-0.6287805	0.00313135	-200.8017	
pallidus	pulcherrimus_DRR107784	fragilis	350780	1068408	-0.505661	-0.505661	0.00297273	-170.0999	
intermedius	pulcherrimus_DRR107784	fragilis	394863	967371	-0.4202714	-0.4202714	0.003170905	-132.5399	
