P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
fragilis	droebachiensis	intermedius	0.00277538	1.33744	0.18108	0.000891473	351321	154861	154004
fragilis	droebachiensis	pallidus	0.0256445	11.4158	2.3e-16	0.0148064	271167	158224	150312
fragilis	droebachiensis	pulcherrimus_SRR5767283	0.0119628	4.74352	2.10038e-06	0.00185296	519372	102240	99823.1
droebachiensis	fragilis	purpuratus_SRR7211988	0.0577392	25.6808	2.3e-16	0.0238523	400801	163731	145855
droebachiensis	pallidus	intermedius	0.00881188	4.347	1.38015e-05	0.00348419	213876	161048	158235
droebachiensis	intermedius	pulcherrimus_SRR5767283	0.00165784	0.706403	0.479937	0.000329092	362120	127255	126834
intermedius	droebachiensis	purpuratus_SRR7211988	0.0515227	24.6765	2.3e-16	0.0259376	234498	197110	177794
pallidus	droebachiensis	pulcherrimus_SRR5767283	0.00612033	2.47406	0.0133586	0.00111216	364034	102067	100825
pallidus	droebachiensis	purpuratus_SRR7211988	0.0499945	23.1293	2.3e-16	0.0231271	254586	160060	144818
purpuratus_SRR7211988	droebachiensis	pulcherrimus_SRR5767283	0.0379792	16.3673	2.3e-16	0.00734084	349886	137816	127731
fragilis	pallidus	intermedius	0.0118208	5.87206	4.30426e-09	0.00468329	210927	164687	160839
fragilis	intermedius	pulcherrimus_SRR5767283	0.0101164	4.36832	1.25206e-05	0.00199454	367451	130239	127631
intermedius	fragilis	purpuratus_SRR7211988	0.0980143	46.1392	2.3e-16	0.0503281	234624	215045	176653
fragilis	pallidus	pulcherrimus_SRR5767283	0.00581581	2.34839	0.0188547	0.0010586	362846	103633	102435
pallidus	fragilis	purpuratus_SRR7211988	0.0964426	43.2141	2.3e-16	0.0460107	246929	174884	144119
purpuratus_SRR7211988	fragilis	pulcherrimus_SRR5767283	0.0291804	12.536	2.3e-16	0.00548185	369280	135911	128204
pallidus	intermedius	pulcherrimus_SRR5767283	0.00653614	2.67844	0.00739662	0.00128963	325303	111014	109572
intermedius	pallidus	purpuratus_SRR7211988	0.00714356	3.3449	0.000823131	0.0035165	214143	162770	160461
purpuratus_SRR7211988	intermedius	pulcherrimus_SRR5767283	0.0363179	15.9739	2.3e-16	0.00730239	340021	144517	134388
purpuratus_SRR7211988	pallidus	pulcherrimus_SRR5767283	0.0319878	13.0808	2.3e-16	0.00638423	299485	122091	114523
