H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
fragilis	pallidus	droebachiensis	648579	1099582	-0.2579871	-0.2579871	0.005008748	-51.5073	
fragilis	intermedius	droebachiensis	569908	1253836	-0.3750132	-0.3750132	0.003920128	-95.66351	
pallidus	intermedius	droebachiensis	615871	839203	-0.153485	-0.153485	0.002554878	-60.07528	
fragilis	purpuratus_SRR7211988	droebachiensis	583826	1517726	-0.4443859	-0.4443859	0.003788952	-117.2846	
pallidus	purpuratus_SRR7211988	droebachiensis	650697	1046926	-0.2334022	-0.2334022	0.002649334	-88.09847	
intermedius	purpuratus_SRR7211988	droebachiensis	757241	899017	-0.08560019	-0.08560019	0.002322023	-36.86448	
fragilis	purpuratus_SRR6281818	droebachiensis	563779	1380275	-0.4199966	-0.4199966	0.003984612	-105.4046	
pallidus	purpuratus_SRR6281818	droebachiensis	631824	942553	-0.1973663	-0.1973663	0.002789813	-70.74537	
intermedius	purpuratus_SRR6281818	droebachiensis	735948	808190	-0.04678468	-0.04678468	0.002286481	-20.46143	
purpuratus_SRR7211988	purpuratus_SRR6281818	droebachiensis	362970	278381	0.1318919	0.1318919	0.002330134	56.60272	
fragilis	pulcherrimus_SRR5767283	droebachiensis	438090	1651246	-0.5806419	-0.5806419	0.003428887	-169.3383	
pallidus	pulcherrimus_SRR5767283	droebachiensis	467999	1247126	-0.4542683	-0.4542683	0.003076021	-147.6805	
intermedius	pulcherrimus_SRR5767283	droebachiensis	522133	1106439	-0.3587843	-0.3587843	0.003253321	-110.2825	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	droebachiensis	629282	1140494	-0.2888569	-0.2888569	0.003098692	-93.21899	
purpuratus_SRR6281818	pulcherrimus_SRR5767283	droebachiensis	572728	1119492	-0.3231046	-0.3231046	0.003052601	-105.8457	
fragilis	pulcherrimus_DRR107784	droebachiensis	373895	1645568	-0.6297085	-0.6297085	0.003219969	-195.5635	
pallidus	pulcherrimus_DRR107784	droebachiensis	396015	1243520	-0.5169179	-0.5169179	0.00308518	-167.5487	
intermedius	pulcherrimus_DRR107784	droebachiensis	445655	1104300	-0.4249446	-0.4249446	0.003322313	-127.9062	
purpuratus_SRR7211988	pulcherrimus_DRR107784	droebachiensis	548083	1142405	-0.3515683	-0.3515683	0.003183979	-110.4179	
purpuratus_SRR6281818	pulcherrimus_DRR107784	droebachiensis	496448	1120320	-0.385876	-0.385876	0.003146834	-122.6236	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	droebachiensis	117327	164903	-0.1685717	-0.1685717	0.002538021	-66.41857	
droebachiensis	pallidus	fragilis	612553	1099582	-0.2844571	-0.2844571	0.004973918	-57.18975	
droebachiensis	intermedius	fragilis	569060	1253836	-0.3756528	-0.3756528	0.003910235	-96.06912	
pallidus	intermedius	fragilis	639474	834833	-0.132509	-0.132509	0.002384158	-55.57897	
droebachiensis	purpuratus_SRR7211988	fragilis	630730	1517726	-0.4128528	-0.4128528	0.00416168	-99.2034	
pallidus	purpuratus_SRR7211988	fragilis	716127	1041809	-0.1852639	-0.1852639	0.003302533	-56.09751	
intermedius	purpuratus_SRR7211988	fragilis	821701	933507	-0.06369957	-0.06369957	0.003058886	-20.82444	
droebachiensis	purpuratus_SRR6281818	fragilis	613955	1380275	-0.3842686	-0.3842686	0.004384346	-87.64559	
pallidus	purpuratus_SRR6281818	fragilis	697406	931488	-0.1437061	-0.1437061	0.003461196	-41.5192	
intermedius	purpuratus_SRR6281818	fragilis	801409	832015	-0.01873733	-0.01873733	0.003039333	-6.164947	
purpuratus_SRR7211988	purpuratus_SRR6281818	fragilis	395043	294111	0.1464578	0.1464578	0.002268645	64.5574	
droebachiensis	pulcherrimus_SRR5767283	fragilis	378116	1651246	-0.6273548	-0.6273548	0.00322666	-194.4286	
