P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
fragilis	droebachiensis	intermedius	0.0018088	0.984331	0.324953	0.000558759	446968	192517	191822
fragilis	droebachiensis	pallidus	0.0242951	11.7689	2.3e-16	0.0137958	331795	191182	182113
fragilis	droebachiensis	pulcherrimus_SRR5767283	0.0102676	4.57667	4.72435e-06	0.00152539	633605	122697	120203
droebachiensis	fragilis	purpuratus_SRR7211988	0.0603094	29.9299	2.3e-16	0.0242465	510610	211734	187648
droebachiensis	pallidus	intermedius	0.0090347	4.92476	8.44632e-07	0.00348104	257234	193421	189957
droebachiensis	intermedius	pulcherrimus_SRR5767283	0.00814786	3.85696	0.000114805	0.00155057	432923	153319	150841
intermedius	droebachiensis	purpuratus_SRR7211988	0.049671	26.7165	2.3e-16	0.0243274	287230	250839	227099
pallidus	droebachiensis	pulcherrimus_SRR5767283	0.00904912	4.0229	5.7487e-05	0.00159265	424397	118910	116778
pallidus	droebachiensis	purpuratus_SRR7211988	0.0526791	27.2871	2.3e-16	0.0238193	304504	198029	178209
purpuratus_SRR7211988	droebachiensis	pulcherrimus_SRR5767283	0.0121701	5.87241	4.29495e-09	0.00226593	424322	162772	158858
fragilis	pallidus	intermedius	0.010696	5.8769	4.18028e-09	0.00412093	258811	201631	197363
fragilis	intermedius	pulcherrimus_SRR5767283	0.0160601	7.84766	4.23869e-15	0.00299599	458585	163954	158771
intermedius	fragilis	purpuratus_SRR7211988	0.0971815	51.1069	2.3e-16	0.0484275	304297	290104	238713
fragilis	pallidus	pulcherrimus_SRR5767283	0.00203276	0.920497	0.357313	0.000357925	429804	122005	121510
pallidus	fragilis	purpuratus_SRR7211988	0.0996456	49.877	2.3e-16	0.0465465	302046	221463	181327
purpuratus_SRR7211988	fragilis	pulcherrimus_SRR5767283	0.00264867	1.30796	0.190887	0.0004725	469295	168458	167568
pallidus	intermedius	pulcherrimus_SRR5767283	0.0160079	7.27345	3.50415e-13	0.00304906	383154	131890	127734
intermedius	pallidus	purpuratus_SRR7211988	0.00198687	1.04212	0.297354	0.000956461	258341	202305	201502
purpuratus_SRR7211988	intermedius	pulcherrimus_SRR5767283	0.0178143	8.74327	2.3e-16	0.00338499	429852	179097	172828
purpuratus_SRR7211988	pallidus	pulcherrimus_SRR5767283	0.00645483	2.96712	0.003006	0.00124904	356712	141598	139782
