H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
fragilis	pallidus	droebachiensis	110539	164222	-0.1953807	-0.1953807	0.005412664	-36.09696	
fragilis	intermedius	droebachiensis	101456	192022	-0.3085955	-0.3085955	0.00447	-69.03703	
pallidus	intermedius	droebachiensis	100786	134932	-0.1448595	-0.1448595	0.003089043	-46.89463	
fragilis	purpuratus_SRR7211988	droebachiensis	42656	553641	-0.8569304	-0.8569304	0.001569206	-546.0916	
pallidus	purpuratus_SRR7211988	droebachiensis	45141	454809	-0.8194179	-0.8194179	0.001804641	-454.0615	
intermedius	purpuratus_SRR7211988	droebachiensis	55810	423103	-0.7669305	-0.7669305	0.002029712	-377.8519	
fragilis	purpuratus_SRR6281818	droebachiensis	61262	400166	-0.7344678	-0.7344678	0.003197251	-229.7185	
pallidus	purpuratus_SRR6281818	droebachiensis	62992	321316	-0.6721796	-0.6721796	0.003370807	-199.4121	
intermedius	purpuratus_SRR6281818	droebachiensis	77171	297520	-0.5880819	-0.5880819	0.003692409	-159.2678	
purpuratus_SRR7211988	purpuratus_SRR6281818	droebachiensis	196843	34288	0.7033025	0.7033025	0.002963548	237.3177	
fragilis	pulcherrimus_SRR5767283	droebachiensis	90147	219380	-0.4175177	-0.4175177	0.003919219	-106.5309	
pallidus	pulcherrimus_SRR5767283	droebachiensis	90545	166626	-0.2958382	-0.2958382	0.002952678	-100.1932	
intermedius	pulcherrimus_SRR5767283	droebachiensis	103304	149813	-0.1837451	-0.1837451	0.002547995	-72.1136	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	droebachiensis	329471	85083	0.5895203	0.5895203	0.002961404	199.0678	
purpuratus_SRR6281818	pulcherrimus_SRR5767283	droebachiensis	237243	106619	0.3798733	0.3798733	0.004163125	91.24716	
fragilis	pulcherrimus_DRR107784	droebachiensis	83123	211882	-0.4364638	-0.4364638	0.003877647	-112.5589	
pallidus	pulcherrimus_DRR107784	droebachiensis	83171	160064	-0.3161264	-0.3161264	0.003048046	-103.7144	
intermedius	pulcherrimus_DRR107784	droebachiensis	95619	143631	-0.2006771	-0.2006771	0.002585099	-77.62841	
purpuratus_SRR7211988	pulcherrimus_DRR107784	droebachiensis	311309	83239	0.5780539	0.5780539	0.003006792	192.2493	
purpuratus_SRR6281818	pulcherrimus_DRR107784	droebachiensis	224104	102777	0.3711657	0.3711657	0.00417948	88.80666	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	droebachiensis	22932	24298	-0.0289223	-0.0289223	0.004712544	-6.1373	
fragilis	depressus	droebachiensis	63058	261867	-0.6118612	-0.6118612	0.002959802	-206.7237	
pallidus	depressus	droebachiensis	64219	216815	-0.5429806	-0.5429806	0.002624647	-206.8776	
intermedius	depressus	droebachiensis	73924	201479	-0.4631576	-0.4631576	0.002591547	-178.7186	
purpuratus_SRR7211988	depressus	droebachiensis	204263	143646	0.1742323	0.1742323	0.003865245	45.07666	
purpuratus_SRR6281818	depressus	droebachiensis	151013	161817	-0.03453633	-0.03453633	0.004146962	-8.328103	
pulcherrimus_SRR5767283	depressus	droebachiensis	73762	154143	-0.3526952	-0.3526952	0.002679649	-131.6199	
pulcherrimus_DRR107784	depressus	droebachiensis	71541	146979	-0.3452224	-0.3452224	0.002810495	-122.8333	
fragilis	franciscanus	droebachiensis	73152	278382	-0.5838127	-0.5838127	0.003128132	-186.633	
pallidus	franciscanus	droebachiensis	73427	225186	-0.508213	-0.508213	0.002681364	-189.5352	
intermedius	franciscanus	droebachiensis	84949	207972	-0.419987	-0.419987	0.002639809	-159.0975	
purpuratus_SRR7211988	franciscanus	droebachiensis	264466	138279	0.3133174	0.3133174	0.003731503	83.96546	
purpuratus_SRR6281818	franciscanus	droebachiensis	190233	162056	0.07998263	0.07998263	0.00427445	18.71179	
pulcherrimus_SRR5767283	franciscanus	droebachiensis	83224	155846	-0.3037688	-0.3037688	0.002650741	-114.5977	
pulcherrimus_DRR107784	franciscanus	droebachiensis	79589	147519	-0.2991088	-0.2991088	0.0027821	-107.5119	
depressus	franciscanus	droebachiensis	57585	45857	0.1133775	0.1133775	0.00333531	33.99311	
fragilis	nudus	droebachiensis	70634	278801	-0.5957245	-0.5957245	0.003026635	-196.8273	
