H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
fragilis	pallidus	droebachiensis	627993	1055642	-0.2540034	-0.2540034	0.005010256	-50.69669	
fragilis	intermedius	droebachiensis	552467	1207519	-0.3721916	-0.3721916	0.003902733	-95.36691	
pallidus	intermedius	droebachiensis	595857	814759	-0.1551818	-0.1551818	0.002536432	-61.18115	
fragilis	purpuratus_SRR7211988	droebachiensis	555120	1483941	-0.4555141	-0.4555141	0.003700728	-123.0877	
pallidus	purpuratus_SRR7211988	droebachiensis	617527	1034791	-0.2525325	-0.2525325	0.002595009	-97.31469	
intermedius	purpuratus_SRR7211988	droebachiensis	720621	890164	-0.1052549	-0.1052549	0.002266992	-46.42932	
fragilis	purpuratus_SRR6281818	droebachiensis	539294	1339488	-0.425911	-0.425911	0.003924046	-108.5387	
pallidus	purpuratus_SRR6281818	droebachiensis	603074	923324	-0.2098077	-0.2098077	0.002750591	-76.27732	
intermedius	purpuratus_SRR6281818	droebachiensis	704487	792504	-0.05879594	-0.05879594	0.002288194	-25.69535	
purpuratus_SRR7211988	purpuratus_SRR6281818	droebachiensis	362001	264788	0.1550969	0.1550969	0.002313471	67.04076	
fragilis	pulcherrimus_SRR5767283	droebachiensis	427906	1592242	-0.5763617	-0.5763617	0.003426107	-168.2264	
pallidus	pulcherrimus_SRR5767283	droebachiensis	455479	1206846	-0.4519977	-0.4519977	0.003079361	-146.7829	
intermedius	pulcherrimus_SRR5767283	droebachiensis	512090	1071137	-0.353106	-0.353106	0.003249103	-108.678	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	droebachiensis	627606	1090114	-0.2692569	-0.2692569	0.003115831	-86.41575	
purpuratus_SRR6281818	pulcherrimus_SRR5767283	droebachiensis	566580	1073999	-0.3092926	-0.3092926	0.003072949	-100.6501	
fragilis	pulcherrimus_DRR107784	droebachiensis	366993	1589196	-0.6247878	-0.6247878	0.003191328	-195.7767	
pallidus	pulcherrimus_DRR107784	droebachiensis	387417	1206102	-0.5137592	-0.5137592	0.003063893	-167.6818	
intermedius	pulcherrimus_DRR107784	droebachiensis	439235	1070828	-0.4182561	-0.4182561	0.003271774	-127.8377	
purpuratus_SRR7211988	pulcherrimus_DRR107784	droebachiensis	549641	1094916	-0.3315635	-0.3315635	0.003195714	-103.7525	
purpuratus_SRR6281818	pulcherrimus_DRR107784	droebachiensis	493781	1077648	-0.3715516	-0.3715516	0.003134141	-118.5498	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	droebachiensis	117126	163898	-0.1664342	-0.1664342	0.002360729	-70.50119	
droebachiensis	pallidus	fragilis	592539	1055642	-0.2809782	-0.2809782	0.004949253	-56.77185	
droebachiensis	intermedius	fragilis	550884	1207519	-0.3734269	-0.3734269	0.003892343	-95.93885	
pallidus	intermedius	fragilis	617070	809043	-0.1346128	-0.1346128	0.002361792	-56.99602	
droebachiensis	purpuratus_SRR7211988	fragilis	600596	1483941	-0.4237608	-0.4237608	0.004100141	-103.3527	
pallidus	purpuratus_SRR7211988	fragilis	678595	1028829	-0.2051242	-0.2051242	0.003301892	-62.12324	
intermedius	purpuratus_SRR7211988	fragilis	780743	921792	-0.08284646	-0.08284646	0.003022843	-27.4068	
