P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
fragilis	droebachiensis	intermedius	0.00133826	0.723952	0.469095	0.000414574	440184	191834	191321
fragilis	droebachiensis	pallidus	0.0273913	13.0623	2.3e-16	0.0151853	321062	188576	178521
fragilis	droebachiensis	pulcherrimus_DRR107784	0.00637165	2.95217	0.00315552	0.00093811	656674	128051	126429
fragilis	droebachiensis	pulcherrimus_SRR5767283	0.00953954	4.28687	1.8121e-05	0.0014059	633378	124534	122180
droebachiensis	fragilis	purpuratus_SRR6281818	0.0596051	29.3469	2.3e-16	0.0226269	475589	204599	181581
droebachiensis	fragilis	purpuratus_SRR7211988	0.0601244	29.6342	2.3e-16	0.02472	504282	208714	185040
droebachiensis	pallidus	intermedius	0.00856195	4.49532	6.94658e-06	0.00328979	252924	188468	185268
droebachiensis	intermedius	pulcherrimus_DRR107784	0.00817457	4.02601	5.67323e-05	0.00154394	449023	160024	157429
droebachiensis	intermedius	pulcherrimus_SRR5767283	0.00556431	2.63817	0.00833551	0.00105298	435488	155258	153540
intermedius	droebachiensis	purpuratus_SRR6281818	0.0557151	28.9517	2.3e-16	0.0256458	271520	243514	217811
intermedius	droebachiensis	purpuratus_SRR7211988	0.0542226	28.3713	2.3e-16	0.0270492	286223	247967	222459
pallidus	droebachiensis	pulcherrimus_DRR107784	0.00452873	2.02768	0.0425928	0.000786682	431070	120056	118973
pallidus	droebachiensis	pulcherrimus_SRR5767283	0.00648936	2.80242	0.00507204	0.00113207	418026	117623	116106
pallidus	droebachiensis	purpuratus_SRR6281818	0.0500245	24.637	2.3e-16	0.0216219	285046	188282	170342
pallidus	droebachiensis	purpuratus_SRR7211988	0.0507832	25.1983	2.3e-16	0.0234532	299026	190672	172242
pulcherrimus_DRR107784	pulcherrimus_SRR5767283	droebachiensis	0.0228952	6.60856	3.88068e-11	0.00098278	1.49767e+06	29469.5	28150.3
purpuratus_SRR6281818	droebachiensis	pulcherrimus_DRR107784	0.00622391	2.94738	0.0032048	0.00114383	431542	162175	160169
purpuratus_SRR7211988	droebachiensis	pulcherrimus_DRR107784	0.0104425	5.08132	3.74811e-07	0.00189056	440055	168971	165478
purpuratus_SRR6281818	droebachiensis	pulcherrimus_SRR5767283	0.0156979	7.19788	6.11578e-13	0.0028862	420116	158789	153881
purpuratus_SRR7211988	droebachiensis	pulcherrimus_SRR5767283	0.0214175	10.0367	2.3e-16	0.00388202	428244	165105	158181
purpuratus_SRR7211988	purpuratus_SRR6281818	droebachiensis	0.0602616	24.755	2.3e-16	0.00835331	798602	102073	90470
fragilis	pallidus	intermedius	0.0105939	5.61331	1.98498e-08	0.00407365	252210	195509	191410
fragilis	intermedius	pulcherrimus_DRR107784	0.0120133	6.05656	1.39065e-09	0.00223421	470256	168776	164769
fragilis	intermedius	pulcherrimus_SRR5767283	0.0125514	6.07935	1.20672e-09	0.00233517	455330	163583	159528
intermedius	fragilis	purpuratus_SRR6281818	0.10263	52.7135	2.3e-16	0.0479378	281158	276495	225024
