taxa,d,Significance,error
"(Mnud,Mfra), Pdep",0.075874100,Z > 3,0.002242043
"(Sfra,Sdro), Spal",0.024602300,Z > 3,0.002081571
"(Sfra,Sdro), Sint",0.000634012,Z < 3,0.001873320
"(Sdro,Spal), Sint",0.010292100,Z > 3,0.001866218
"(Sfra,Spal), Sint",0.012306900,Z > 3,0.001837624
"(Sdro,Sfra), Spur",0.058984600,Z > 3,0.002042375
"(Sint,Sfra), Spur",0.099018600,Z > 3,0.001924059
"(Spal,Sfra), Spur",0.096463400,Z > 3,0.002015832
"(Sint,Sdro), Spur",0.051877000,Z > 3,0.001888751
"(Spal,Sdro), Spur",0.050363600,Z > 3,0.001960657
"(Sint,Spal), Spur",0.007769520,Z > 3,0.001935726
"(Spur,Sfra), Hpul",0.012641800,Z > 3,0.002065849
"(Spur,Sdro), Hpul",0.020329800,Z > 3,0.002120435
"(Spal,Sdro), Hpul",0.005651940,Z < 3,0.002264962
"(Sfra,Sdro), Hpul",0.008080640,Z > 3,0.002291854
"(Spur,Spal), Hpul",0.016514500,Z > 3,0.002210803
"(Sfra,Spal), Hpul",0.002823730,Z < 3,0.002233469
"(Spur,Sint), Hpul",0.021642300,Z > 3,0.002066327
"(Spal,Sint), Hpul",0.009877780,Z > 3,0.002232262
"(Sfra,Sint), Hpul",0.011264800,Z > 3,0.002079884
"(Sdro,Sint), Hpul",0.005854920,Z < 3,0.002128946
