chrom	length	bases	mean	min	max
NW_022144747.1	60028	80	0.00	0	2
NW_022144747.1_region	0	0	0.00	0	0
NW_022144748.1	57988	806	0.01	0	8
NW_022144748.1_region	939	19	0.02	0	1
NW_022144750.1	47351	114	0.00	0	6
NW_022144750.1_region	0	0	0.00	0	0
NW_022144751.1	44134	979	0.02	0	6
NW_022144751.1_region	4170	0	0.00	0	0
NW_022144753.1	32290	1271	0.04	0	6
NW_022144753.1_region	819	3	0.00	0	1
NW_022144754.1	30490	76	0.00	0	2
NW_022144754.1_region	0	0	0.00	0	0
NW_022144755.1	29101	918	0.03	0	8
NW_022144755.1_region	0	0	0.00	0	0
NW_022144756.1	26146	1142	0.04	0	6
NW_022144756.1_region	0	0	0.00	0	0
NW_022144757.1	25658	820	0.03	0	7
NW_022144757.1_region	2781	0	0.00	0	0
NW_022144758.1	25340	1031	0.04	0	22
NW_022144758.1_region	0	0	0.00	0	0
NW_022144759.1	25179	1045	0.04	0	7
NW_022144759.1_region	8430	382	0.05	0	6
NW_022144760.1	24030	1471	0.06	0	17
NW_022144760.1_region	996	40	0.04	0	2
NW_022144761.1	23711	1820	0.08	0	13
NW_022144761.1_region	0	0	0.00	0	0
NW_022144762.1	23070	897	0.04	0	8
NW_022144762.1_region	1032	0	0.00	0	0
NW_022144763.1	22953	741	0.03	0	8
NW_022144763.1_region	2952	0	0.00	0	0
NW_022144764.1	22620	1642	0.07	0	10
NW_022144764.1_region	2640	0	0.00	0	0
NW_022144766.1	21973	1104	0.05	0	8
NW_022144766.1_region	0	0	0.00	0	0
NW_022144767.1	21667	1012	0.05	0	6
NW_022144767.1_region	0	0	0.00	0	0
NW_022144768.1	21625	1352	0.06	0	8
NW_022144768.1_region	0	0	0.00	0	0
NW_022144769.1	21387	1461	0.07	0	12
NW_022144769.1_region	0	0	0.00	0	0
NW_022144770.1	21139	939	0.04	0	12
NW_022144770.1_region	3847	0	0.00	0	0
NW_022144771.1	21068	1020	0.05	0	6
NW_022144771.1_region	0	0	0.00	0	0
NW_022144772.1	21005	1228	0.06	0	7
NW_022144772.1_region	0	0	0.00	0	0
NW_022144773.1	20784	988	0.05	0	6
NW_022144773.1_region	0	0	0.00	0	0
NW_022144774.1	20670	896	0.04	0	6
NW_022144774.1_region	0	0	0.00	0	0
NW_022144775.1	20129	904	0.04	0	6
NW_022144775.1_region	0	0	0.00	0	0
NW_022144776.1	19833	2442	0.12	0	68
NW_022144776.1_region	1593	0	0.00	0	0
NW_022144777.1	19372	774	0.04	0	6
NW_022144777.1_region	0	0	0.00	0	0
NW_022144778.1	19224	547	0.03	0	6
NW_022144778.1_region	1185	0	0.00	0	0
NW_022144779.1	18924	445	0.02	0	16
NW_022144779.1_region	4515	0	0.00	0	0
NW_022144780.1	18903	802	0.04	0	6
NW_022144780.1_region	0	0	0.00	0	0
NW_022144781.1	18719	695	0.04	0	4
NW_022144781.1_region	0	0	0.00	0	0
NW_022144782.1	18716	556	0.03	0	4
NW_022144782.1_region	0	0	0.00	0	0
NW_022144783.1	18557	1419	0.08	0	10
NW_022144783.1_region	312	0	0.00	0	0
NW_022144784.1	18439	797	0.04	0	6
NW_022144784.1_region	0	0	0.00	0	0
NW_022144785.1	18330	1220	0.07	0	6
NW_022144785.1_region	0	0	0.00	0	0
NW_022144786.1	18214	715	0.04	0	6
NW_022144786.1_region	0	0	0.00	0	0
NW_022144787.1	18153	824	0.05	0	8
NW_022144787.1_region	0	0	0.00	0	0
NW_022144788.1	17951	795	0.04	0	8
NW_022144788.1_region	0	0	0.00	0	0
NW_022144789.1	17798	1269	0.07	0	10
NW_022144789.1_region	0	0	0.00	0	0
NW_022144790.1	17754	452	0.03	0	4
NW_022144790.1_region	3724	37	0.01	0	4
NW_022144791.1	17648	688	0.04	0	4
NW_022144791.1_region	0	0	0.00	0	0
NW_022144792.1	17542	1026	0.06	0	7
NW_022144792.1_region	1403	22	0.02	0	2
NW_022144793.1	17493	858	0.05	0	7
NW_022144793.1_region	0	0	0.00	0	0
NW_022144794.1	17213	510	0.03	0	6
NW_022144794.1_region	0	0	0.00	0	0
NW_022144795.1	17172	1128	0.07	0	22
NW_022144795.1_region	0	0	0.00	0	0
NW_022144796.1	17039	722	0.04	0	6
NW_022144796.1_region	894	0	0.00	0	0
NW_022144797.1	17012	1942	0.11	0	10
NW_022144797.1_region	0	0	0.00	0	0
NW_022144798.1	16271	1502	0.09	0	22
NW_022144798.1_region	0	0	0.00	0	0
NW_022144799.1	16212	712	0.04	0	4
NW_022144799.1_region	1650	0	0.00	0	0
NW_022144800.1	16196	246	0.02	0	4
NW_022144800.1_region	0	0	0.00	0	0
NW_022144801.1	16082	1828	0.11	0	12
NW_022144801.1_region	0	0	0.00	0	0
NW_022144802.1	16073	899	0.06	0	10
NW_022144802.1_region	0	0	0.00	0	0
NW_022144803.1	15882	502	0.03	0	6
NW_022144803.1_region	0	0	0.00	0	0
NW_022144804.1	15872	817	0.05	0	4
NW_022144804.1_region	1277	76	0.06	0	4
NW_022144805.1	15755	308	0.02	0	4
NW_022144805.1_region	0	0	0.00	0	0
NW_022144806.1	15729	765	0.05	0	8
NW_022144806.1_region	0	0	0.00	0	0
NW_022144807.1	15717	408	0.03	0	4
NW_022144807.1_region	0	0	0.00	0	0
NW_022144808.1	15697	1129	0.07	0	6
NW_022144808.1_region	0	0	0.00	0	0
NW_022144809.1	15254	941	0.06	0	6
