chrom	length	bases	mean	min	max
NW_022144747.1	60028	39	0.00	0	2
NW_022144747.1_region	0	0	0.00	0	0
NW_022144748.1	57988	162	0.00	0	2
NW_022144748.1_region	939	0	0.00	0	0
NW_022144751.1	44134	426	0.01	0	5
NW_022144751.1_region	4170	0	0.00	0	0
NW_022144752.1	38760	38	0.00	0	2
NW_022144752.1_region	0	0	0.00	0	0
NW_022144753.1	32290	146	0.00	0	2
NW_022144753.1_region	819	0	0.00	0	0
NW_022144755.1	29101	118	0.00	0	3
NW_022144755.1_region	0	0	0.00	0	0
NW_022144756.1	26146	234	0.01	0	3
NW_022144756.1_region	0	0	0.00	0	0
NW_022144757.1	25658	116	0.00	0	2
NW_022144757.1_region	2781	0	0.00	0	0
NW_022144758.1	25340	42	0.00	0	1
NW_022144758.1_region	0	0	0.00	0	0
NW_022144759.1	25179	64	0.00	0	1
NW_022144759.1_region	8430	0	0.00	0	0
NW_022144761.1	23711	278	0.01	0	6
NW_022144761.1_region	0	0	0.00	0	0
NW_022144762.1	23070	81	0.00	0	2
NW_022144762.1_region	1032	0	0.00	0	0
NW_022144763.1	22953	123	0.01	0	2
NW_022144763.1_region	2952	40	0.01	0	2
NW_022144764.1	22620	141	0.01	0	2
NW_022144764.1_region	2640	0	0.00	0	0
NW_022144765.1	22433	40	0.00	0	2
NW_022144765.1_region	11148	40	0.00	0	2
NW_022144766.1	21973	76	0.00	0	4
NW_022144766.1_region	0	0	0.00	0	0
NW_022144767.1	21667	249	0.01	0	5
NW_022144767.1_region	0	0	0.00	0	0
NW_022144768.1	21625	63	0.00	0	2
NW_022144768.1_region	0	0	0.00	0	0
NW_022144769.1	21387	63	0.00	0	2
NW_022144769.1_region	0	0	0.00	0	0
NW_022144771.1	21068	179	0.01	0	4
NW_022144771.1_region	0	0	0.00	0	0
NW_022144772.1	21005	251	0.01	0	2
NW_022144772.1_region	0	0	0.00	0	0
NW_022144773.1	20784	99	0.00	0	1
NW_022144773.1_region	0	0	0.00	0	0
NW_022144774.1	20670	119	0.01	0	2
NW_022144774.1_region	0	0	0.00	0	0
NW_022144775.1	20129	141	0.01	0	2
NW_022144775.1_region	0	0	0.00	0	0
NW_022144776.1	19833	38	0.00	0	2
NW_022144776.1_region	1593	0	0.00	0	0
NW_022144777.1	19372	200	0.01	0	3
NW_022144777.1_region	0	0	0.00	0	0
NW_022144778.1	19224	84	0.00	0	2
NW_022144778.1_region	1185	0	0.00	0	0
NW_022144779.1	18924	38	0.00	0	2
NW_022144779.1_region	4515	0	0.00	0	0
NW_022144780.1	18903	46	0.00	0	1
NW_022144780.1_region	0	0	0.00	0	0
NW_022144781.1	18719	46	0.00	0	1
NW_022144781.1_region	0	0	0.00	0	0
NW_022144782.1	18716	123	0.01	0	2
NW_022144782.1_region	0	0	0.00	0	0
NW_022144783.1	18557	76	0.00	0	4
NW_022144783.1_region	312	0	0.00	0	0
NW_022144784.1	18439	72	0.00	0	3
NW_022144784.1_region	0	0	0.00	0	0
NW_022144785.1	18330	249	0.01	0	2
NW_022144785.1_region	0	0	0.00	0	0
NW_022144786.1	18214	38	0.00	0	2
NW_022144786.1_region	0	0	0.00	0	0
NW_022144787.1	18153	62	0.00	0	1
NW_022144787.1_region	0	0	0.00	0	0
NW_022144788.1	17951	120	0.01	0	2
NW_022144788.1_region	0	0	0.00	0	0
NW_022144789.1	17798	150	0.01	0	3
NW_022144789.1_region	0	0	0.00	0	0
NW_022144791.1	17648	76	0.00	0	2
NW_022144791.1_region	0	0	0.00	0	0
NW_022144792.1	17542	259	0.01	0	6
NW_022144792.1_region	1403	0	0.00	0	0
NW_022144793.1	17493	130	0.01	0	3
NW_022144793.1_region	0	0	0.00	0	0
NW_022144794.1	17213	157	0.01	0	2
NW_022144794.1_region	0	0	0.00	0	0
NW_022144795.1	17172	205	0.01	0	5
NW_022144795.1_region	0	0	0.00	0	0
NW_022144796.1	17039	152	0.01	0	2
NW_022144796.1_region	894	0	0.00	0	0
NW_022144797.1	17012	60	0.00	0	1
NW_022144797.1_region	0	0	0.00	0	0
NW_022144798.1	16271	118	0.01	0	4
NW_022144798.1_region	0	0	0.00	0	0
NW_022144799.1	16212	71	0.00	0	2
NW_022144799.1_region	1650	0	0.00	0	0
NW_022144801.1	16082	264	0.02	0	6
NW_022144801.1_region	0	0	0.00	0	0
NW_022144802.1	16073	218	0.01	0	3
NW_022144802.1_region	0	0	0.00	0	0
NW_022144803.1	15882	78	0.00	0	2
NW_022144803.1_region	0	0	0.00	0	0
NW_022144804.1	15872	84	0.01	0	2
NW_022144804.1_region	1277	0	0.00	0	0
NW_022144805.1	15755	97	0.01	0	4
NW_022144805.1_region	0	0	0.00	0	0
NW_022144806.1	15729	153	0.01	0	2
NW_022144806.1_region	0	0	0.00	0	0
NW_022144808.1	15697	21	0.00	0	1
NW_022144808.1_region	0	0	0.00	0	0
NW_022144809.1	15254	42	0.00	0	1
NW_022144809.1_region	624	0	0.00	0	0
NW_022144810.1	15245	116	0.01	0	4
NW_022144810.1_region	0	0	0.00	0	0
NW_022144811.1	15184	77	0.01	0	2
NW_022144811.1_region	1176	0	0.00	0	0
NW_022144812.1	15180	438	0.03	0	8
NW_022144812.1_region	0	0	0.00	0	0
NW_022144813.1	64470	324380	5.03	0	162
NW_022144813.1_region	2668	70386	26.38	0	76
NW_022144814.1	20273	128	0.01	0	2
NW_022144814.1_region	0	0	0.00	0	0
NW_022144815.1	19793	236	0.01	0	4
NW_022144815.1_region	0	0	0.00	0	0
NW_022144816.1	18134	260	0.01	0	5
NW_022144816.1_region	555	0	0.00	0	0
NW_022144817.1	17838	276	0.02	0	4
NW_022144817.1_region	0	0	0.00	0	0
NW_022144818.1	15663	146	0.01	0	2
NW_022144818.1_region	0	0	0.00	0	0
NW_022144819.1	25897	50669	1.96	0	52
NW_022144819.1_region	1580	18657	11.81	0	52
NW_022144820.1	14953	115	0.01	0	3
NW_022144820.1_region	0	0	0.00	0	0
NW_022144821.1	14859	447	0.03	0	8
NW_022144821.1_region	0	0	0.00	0	0
