chrom	length	bases	mean	min	max
NW_022144747.1	60028	146	0.00	0	2
NW_022144747.1_region	0	0	0.00	0	0
NW_022144748.1	57988	271	0.00	0	4
NW_022144748.1_region	939	0	0.00	0	0
NW_022144751.1	44134	622	0.01	0	3
NW_022144751.1_region	4170	52	0.01	0	2
NW_022144753.1	32290	76	0.00	0	2
NW_022144753.1_region	819	0	0.00	0	0
NW_022144754.1	30490	40	0.00	0	2
NW_022144754.1_region	0	0	0.00	0	0
NW_022144755.1	29101	90	0.00	0	2
NW_022144755.1_region	0	0	0.00	0	0
NW_022144756.1	26146	851	0.03	0	18
NW_022144756.1_region	0	0	0.00	0	0
NW_022144757.1	25658	259	0.01	0	2
NW_022144757.1_region	2781	0	0.00	0	0
NW_022144759.1	25179	163	0.01	0	2
NW_022144759.1_region	8430	19	0.00	0	1
NW_022144760.1	24030	148	0.01	0	4
NW_022144760.1_region	996	0	0.00	0	0
NW_022144761.1	23711	352	0.01	0	4
NW_022144761.1_region	0	0	0.00	0	0
NW_022144762.1	23070	127	0.01	0	2
NW_022144762.1_region	1032	42	0.04	0	2
NW_022144763.1	22953	231	0.01	0	3
NW_022144763.1_region	2952	0	0.00	0	0
NW_022144764.1	22620	201	0.01	0	3
NW_022144764.1_region	2640	1	0.00	0	1
NW_022144766.1	21973	211	0.01	0	4
NW_022144766.1_region	0	0	0.00	0	0
NW_022144767.1	21667	105	0.00	0	2
NW_022144767.1_region	0	0	0.00	0	0
NW_022144768.1	21625	90	0.00	0	2
NW_022144768.1_region	0	0	0.00	0	0
NW_022144769.1	21387	138	0.01	0	2
NW_022144769.1_region	0	0	0.00	0	0
NW_022144770.1	21139	168	0.01	0	2
NW_022144770.1_region	3847	0	0.00	0	0
NW_022144771.1	21068	103	0.00	0	2
NW_022144771.1_region	0	0	0.00	0	0
NW_022144772.1	21005	64	0.00	0	1
NW_022144772.1_region	0	0	0.00	0	0
NW_022144773.1	20784	60	0.00	0	2
NW_022144773.1_region	0	0	0.00	0	0
NW_022144774.1	20670	76	0.00	0	2
NW_022144774.1_region	0	0	0.00	0	0
NW_022144775.1	20129	213	0.01	0	3
NW_022144775.1_region	0	0	0.00	0	0
NW_022144776.1	19833	150	0.01	0	3
NW_022144776.1_region	1593	0	0.00	0	0
NW_022144777.1	19372	248	0.01	0	4
NW_022144777.1_region	0	0	0.00	0	0
NW_022144780.1	18903	139	0.01	0	2
NW_022144780.1_region	0	0	0.00	0	0
NW_022144781.1	18719	121	0.01	0	2
NW_022144781.1_region	0	0	0.00	0	0
NW_022144782.1	18716	88	0.00	0	2
NW_022144782.1_region	0	0	0.00	0	0
NW_022144783.1	18557	124	0.01	0	2
NW_022144783.1_region	312	0	0.00	0	0
NW_022144784.1	18439	79	0.00	0	2
NW_022144784.1_region	0	0	0.00	0	0
NW_022144785.1	18330	103	0.01	0	2
NW_022144785.1_region	0	0	0.00	0	0
NW_022144786.1	18214	88	0.00	0	2
NW_022144786.1_region	0	0	0.00	0	0
NW_022144787.1	18153	19	0.00	0	1
NW_022144787.1_region	0	0	0.00	0	0
NW_022144788.1	17951	38	0.00	0	2
NW_022144788.1_region	0	0	0.00	0	0
NW_022144789.1	17798	117	0.01	0	2
NW_022144789.1_region	0	0	0.00	0	0
NW_022144791.1	17648	40	0.00	0	1
NW_022144791.1_region	0	0	0.00	0	0
NW_022144792.1	17542	22	0.00	0	1
NW_022144792.1_region	1403	0	0.00	0	0
NW_022144793.1	17493	215	0.01	0	2
NW_022144793.1_region	0	0	0.00	0	0
NW_022144794.1	17213	154	0.01	0	2
NW_022144794.1_region	0	0	0.00	0	0
NW_022144795.1	17172	300	0.02	0	8
NW_022144795.1_region	0	0	0.00	0	0
NW_022144796.1	17039	345	0.02	0	10
NW_022144796.1_region	894	0	0.00	0	0
NW_022144797.1	17012	133	0.01	0	2
NW_022144797.1_region	0	0	0.00	0	0
NW_022144798.1	16271	38	0.00	0	2
