chrom	length	bases	mean	min	max
NW_022144746.1	64836	232	0.00	0	10
NW_022144746.1_region	0	0	0.00	0	0
NW_022144747.1	60028	1044	0.02	0	10
NW_022144747.1_region	0	0	0.00	0	0
NW_022144748.1	57988	5689	0.10	0	13
NW_022144748.1_region	939	40	0.04	0	2
NW_022144749.1	56950	162	0.00	0	6
NW_022144749.1_region	0	0	0.00	0	0
NW_022144750.1	47351	383	0.01	0	5
NW_022144750.1_region	0	0	0.00	0	0
NW_022144751.1	44134	7564	0.17	0	33
NW_022144751.1_region	4170	66	0.02	0	2
NW_022144752.1	38760	76	0.00	0	2
NW_022144752.1_region	0	0	0.00	0	0
NW_022144753.1	32290	8624	0.27	0	27
NW_022144753.1_region	819	110	0.13	0	4
NW_022144754.1	30490	479	0.02	0	8
NW_022144754.1_region	0	0	0.00	0	0
NW_022144755.1	29101	10174	0.35	0	14
NW_022144755.1_region	0	0	0.00	0	0
NW_022144756.1	26146	7833	0.30	0	48
NW_022144756.1_region	0	0	0.00	0	0
NW_022144757.1	25658	7193	0.28	0	27
NW_022144757.1_region	2781	309	0.11	0	11
NW_022144758.1	25340	4047	0.16	0	12
NW_022144758.1_region	0	0	0.00	0	0
NW_022144759.1	25179	5715	0.23	0	20
NW_022144759.1_region	8430	1957	0.23	0	20
NW_022144760.1	24030	5990	0.25	0	78
NW_022144760.1_region	996	38	0.04	0	2
NW_022144761.1	23711	8582	0.36	0	38
NW_022144761.1_region	0	0	0.00	0	0
NW_022144762.1	23070	6704	0.29	0	19
NW_022144762.1_region	1032	44	0.04	0	2
NW_022144763.1	22953	4602	0.20	0	21
NW_022144763.1_region	2952	0	0.00	0	0
NW_022144764.1	22620	7380	0.33	0	42
NW_022144764.1_region	2640	46	0.02	0	4
NW_022144765.1	22433	906	0.04	0	11
NW_022144765.1_region	11148	361	0.03	0	8
NW_022144766.1	21973	8953	0.41	0	26
NW_022144766.1_region	0	0	0.00	0	0
NW_022144767.1	21667	8784	0.41	0	36
NW_022144767.1_region	0	0	0.00	0	0
NW_022144768.1	21625	4831	0.22	0	14
NW_022144768.1_region	0	0	0.00	0	0
NW_022144769.1	21387	4507	0.21	0	14
NW_022144769.1_region	0	0	0.00	0	0
NW_022144770.1	21139	4831	0.23	0	26
NW_022144770.1_region	3847	119	0.03	0	4
NW_022144771.1	21068	6087	0.29	0	16
NW_022144771.1_region	0	0	0.00	0	0
NW_022144772.1	21005	8340	0.40	0	94
NW_022144772.1_region	0	0	0.00	0	0
NW_022144773.1	20784	5641	0.27	0	16
NW_022144773.1_region	0	0	0.00	0	0
NW_022144774.1	20670	5199	0.25	0	16
NW_022144774.1_region	0	0	0.00	0	0
NW_022144775.1	20129	5226	0.26	0	18
NW_022144775.1_region	0	0	0.00	0	0
NW_022144776.1	19833	8466	0.43	0	30
NW_022144776.1_region	1593	128	0.08	0	6
NW_022144777.1	19372	12793	0.66	0	148
NW_022144777.1_region	0	0	0.00	0	0
NW_022144778.1	19224	2799	0.15	0	16
NW_022144778.1_region	1185	76	0.06	0	4
NW_022144779.1	18924	2961	0.16	0	22
NW_022144779.1_region	4515	309	0.07	0	6
NW_022144780.1	18903	5470	0.29	0	12
NW_022144780.1_region	0	0	0.00	0	0
NW_022144781.1	18719	5797	0.31	0	30
NW_022144781.1_region	0	0	0.00	0	0
NW_022144782.1	18716	6424	0.34	0	30
NW_022144782.1_region	0	0	0.00	0	0
NW_022144783.1	18557	5797	0.31	0	22
NW_022144783.1_region	312	0	0.00	0	0
NW_022144784.1	18439	3810	0.21	0	16
NW_022144784.1_region	0	0	0.00	0	0
NW_022144785.1	18330	6780	0.37	0	24
NW_022144785.1_region	0	0	0.00	0	0
NW_022144786.1	18214	7207	0.40	0	31
NW_022144786.1_region	0	0	0.00	0	0
NW_022144787.1	18153	5392	0.30	0	14
NW_022144787.1_region	0	0	0.00	0	0
NW_022144788.1	17951	14092	0.79	0	312
NW_022144788.1_region	0	0	0.00	0	0
NW_022144789.1	17798	50492	2.84	0	1973
NW_022144789.1_region	0	0	0.00	0	0
NW_022144790.1	17754	4308	0.24	0	14
NW_022144790.1_region	3724	240	0.06	0	8
NW_022144791.1	17648	4531	0.26	0	14
NW_022144791.1_region	0	0	0.00	0	0
NW_022144792.1	17542	6305	0.36	0	19
NW_022144792.1_region	1403	238	0.17	0	14
NW_022144793.1	17493	6407	0.37	0	70
NW_022144793.1_region	0	0	0.00	0	0
NW_022144794.1	17213	6757	0.39	0	64
NW_022144794.1_region	0	0	0.00	0	0
NW_022144795.1	17172	3847	0.22	0	18
NW_022144795.1_region	0	0	0.00	0	0
NW_022144796.1	17039	5124	0.30	0	18
NW_022144796.1_region	894	80	0.09	0	4
NW_022144797.1	17012	6061	0.36	0	35
NW_022144797.1_region	0	0	0.00	0	0
NW_022144798.1	16271	6815	0.42	0	34
NW_022144798.1_region	0	0	0.00	0	0
NW_022144799.1	16212	7223	0.45	0	18
NW_022144799.1_region	1650	196	0.12	0	8
NW_022144800.1	16196	3765	0.23	0	28
NW_022144800.1_region	0	0	0.00	0	0
NW_022144801.1	16082	7218	0.45	0	24
NW_022144801.1_region	0	0	0.00	0	0
NW_022144802.1	16073	5765	0.36	0	16
NW_022144802.1_region	0	0	0.00	0	0
NW_022144803.1	15882	5809	0.37	0	16
NW_022144803.1_region	0	0	0.00	0	0
NW_022144804.1	15872	5121	0.32	0	14
NW_022144804.1_region	1277	76	0.06	0	2
NW_022144805.1	15755	4503	0.29	0	20
NW_022144805.1_region	0	0	0.00	0	0
NW_022144806.1	15729	5633	0.36	0	13
NW_022144806.1_region	0	0	0.00	0	0
NW_022144807.1	15717	2429	0.15	0	17
NW_022144807.1_region	0	0	0.00	0	0
NW_022144808.1	15697	4394	0.28	0	24
NW_022144808.1_region	0	0	0.00	0	0
NW_022144809.1	15254	6131	0.40	0	29
NW_022144809.1_region	624	0	0.00	0	0
NW_022144810.1	15245	5115	0.34	0	20
NW_022144810.1_region	0	0	0.00	0	0
NW_022144811.1	15184	3667	0.24	0	22
NW_022144811.1_region	1176	0	0.00	0	0
NW_022144812.1	15180	2799	0.18	0	10
NW_022144812.1_region	0	0	0.00	0	0
NW_022144813.1	64470	279805	4.34	0	491
NW_022144813.1_region	2668	56534	21.19	0	133
NW_022144814.1	20273	6118	0.30	0	16
NW_022144814.1_region	0	0	0.00	0	0
NW_022144815.1	19793	9049	0.46	0	17
NW_022144815.1_region	0	0	0.00	0	0
NW_022144816.1	18134	5415	0.30	0	16
NW_022144816.1_region	555	0	0.00	0	0
NW_022144817.1	17838	8721	0.49	0	42
NW_022144817.1_region	0	0	0.00	0	0
NW_022144818.1	15663	7987	0.51	0	43
NW_022144818.1_region	0	0	0.00	0	0
NW_022144819.1	25897	116964	4.52	0	211
NW_022144819.1_region	1580	23138	14.64	0	50
NW_022144820.1	14953	2968	0.20	0	10
NW_022144820.1_region	0	0	0.00	0	0
NW_022144821.1	14859	6668	0.45	0	80
NW_022144821.1_region	0	0	0.00	0	0
NW_022144822.1	14838	952	0.06	0	7
NW_022144822.1_region	0	0	0.00	0	0
NW_022144823.1	14815	6247	0.42	0	15
NW_022144823.1_region	0	0	0.00	0	0
NW_022144824.1	14806	7916	0.53	0	21
NW_022144824.1_region	0	0	0.00	0	0
NW_022144825.1	14766	5030	0.34	0	30
NW_022144825.1_region	0	0	0.00	0	0
NW_022144826.1	14747	5767	0.39	0	31
NW_022144826.1_region	0	0	0.00	0	0
NW_022144827.1	14741	5057	0.34	0	18
NW_022144827.1_region	0	0	0.00	0	0
NW_022144828.1	14710	4041	0.27	0	54
NW_022144828.1_region	1104	114	0.10	0	6
NW_022144829.1	14707	5903	0.40	0	20
NW_022144829.1_region	0	0	0.00	0	0
NW_022144830.1	14679	5482	0.37	0	34
NW_022144830.1_region	549	0	0.00	0	0
NW_022144831.1	14604	5438	0.37	0	76
NW_022144831.1_region	0	0	0.00	0	0
NW_022144832.1	14536	4726	0.33	0	19
NW_022144832.1_region	0	0	0.00	0	0
NW_022144833.1	14472	6397	0.44	0	23
NW_022144833.1_region	0	0	0.00	0	0
NW_022144834.1	14424	6098	0.42	0	66
NW_022144834.1_region	0	0	0.00	0	0
NW_022144835.1	14392	47317	3.29	0	127
NW_022144835.1_region	0	0	0.00	0	0
NW_022144836.1	14366	3947	0.27	0	18
NW_022144836.1_region	0	0	0.00	0	0
NW_022144837.1	14316	5006	0.35	0	22
NW_022144837.1_region	474	0	0.00	0	0
NW_022144838.1	14178	5777	0.41	0	14
NW_022144838.1_region	557	0	0.00	0	0
NW_022144839.1	14036	6112	0.44	0	28
NW_022144839.1_region	0	0	0.00	0	0
NW_022144840.1	13984	5245	0.38	0	21
NW_022144840.1_region	0	0	0.00	0	0
NW_022144841.1	13922	3525	0.25	0	10
NW_022144841.1_region	642	0	0.00	0	0
NW_022144842.1	13691	9897	0.72	0	82
NW_022144842.1_region	765	20	0.03	0	1
NW_022144843.1	13690	3631	0.27	0	16
NW_022144843.1_region	825	186	0.23	0	6
NW_022144844.1	13628	2708	0.20	0	16
NW_022144844.1_region	975	1	0.00	0	1
NW_022144845.1	13496	4510	0.33	0	18
NW_022144845.1_region	0	0	0.00	0	0
NW_022144846.1	13451	3259	0.24	0	14
NW_022144846.1_region	0	0	0.00	0	0
NW_022144847.1	13443	5251	0.39	0	26
NW_022144847.1_region	0	0	0.00	0	0
NW_022144848.1	13325	3977	0.30	0	16
NW_022144848.1_region	0	0	0.00	0	0
NW_022144849.1	13232	3633	0.27	0	14
NW_022144849.1_region	501	0	0.00	0	0
NW_022144850.1	13217	1701	0.13	0	15
NW_022144850.1_region	0	0	0.00	0	0
NW_022144851.1	13037	4594	0.35	0	25
NW_022144851.1_region	0	0	0.00	0	0
NW_022144852.1	13005	2314	0.18	0	13
NW_022144852.1_region	0	0	0.00	0	0
NW_022144853.1	12874	109	0.01	0	1
NW_022144853.1_region	0	0	0.00	0	0
NW_022144854.1	12677	5456	0.43	0	26
NW_022144854.1_region	0	0	0.00	0	0
NW_022144855.1	12615	4348	0.34	0	31
NW_022144855.1_region	0	0	0.00	0	0
NW_022144856.1	12598	3478	0.28	0	16
