chrom	length	bases	mean	min	max
NW_022144746.1	64836	152	0.00	0	2
NW_022144746.1_region	0	0	0.00	0	0
NW_022144747.1	60028	291	0.00	0	4
NW_022144747.1_region	0	0	0.00	0	0
NW_022144748.1	57988	3002	0.05	0	10
NW_022144748.1_region	939	19	0.02	0	1
NW_022144750.1	47351	38	0.00	0	2
NW_022144750.1_region	0	0	0.00	0	0
NW_022144751.1	44134	3864	0.09	0	22
NW_022144751.1_region	4170	176	0.04	0	3
NW_022144753.1	32290	4311	0.13	0	38
NW_022144753.1_region	819	0	0.00	0	0
NW_022144754.1	30490	375	0.01	0	6
NW_022144754.1_region	0	0	0.00	0	0
NW_022144755.1	29101	5485	0.19	0	66
NW_022144755.1_region	0	0	0.00	0	0
NW_022144756.1	26146	4405	0.17	0	15
NW_022144756.1_region	0	0	0.00	0	0
NW_022144757.1	25658	2519	0.10	0	21
NW_022144757.1_region	2781	0	0.00	0	0
NW_022144758.1	25340	2317	0.09	0	12
NW_022144758.1_region	0	0	0.00	0	0
NW_022144759.1	25179	2786	0.11	0	10
NW_022144759.1_region	8430	743	0.09	0	10
NW_022144760.1	24030	2771	0.12	0	7
NW_022144760.1_region	996	38	0.04	0	2
NW_022144761.1	23711	4432	0.19	0	16
NW_022144761.1_region	0	0	0.00	0	0
NW_022144762.1	23070	3390	0.15	0	16
NW_022144762.1_region	1032	0	0.00	0	0
NW_022144763.1	22953	2424	0.11	0	14
NW_022144763.1_region	2952	19	0.01	0	1
NW_022144764.1	22620	3486	0.15	0	18
NW_022144764.1_region	2640	4	0.00	0	2
NW_022144765.1	22433	383	0.02	0	8
NW_022144765.1_region	11148	83	0.01	0	3
NW_022144766.1	21973	3479	0.16	0	14
NW_022144766.1_region	0	0	0.00	0	0
NW_022144767.1	21667	3515	0.16	0	18
NW_022144767.1_region	0	0	0.00	0	0
NW_022144768.1	21625	3797	0.18	0	16
NW_022144768.1_region	0	0	0.00	0	0
NW_022144769.1	21387	4052	0.19	0	20
NW_022144769.1_region	0	0	0.00	0	0
NW_022144770.1	21139	2715	0.13	0	14
NW_022144770.1_region	3847	152	0.04	0	4
NW_022144771.1	21068	3383	0.16	0	14
NW_022144771.1_region	0	0	0.00	0	0
NW_022144772.1	21005	3567	0.17	0	24
NW_022144772.1_region	0	0	0.00	0	0
NW_022144773.1	20784	3386	0.16	0	28
NW_022144773.1_region	0	0	0.00	0	0
NW_022144774.1	20670	2352	0.11	0	14
NW_022144774.1_region	0	0	0.00	0	0
NW_022144775.1	20129	2600	0.13	0	10
NW_022144775.1_region	0	0	0.00	0	0
NW_022144776.1	19833	4531	0.23	0	26
NW_022144776.1_region	1593	0	0.00	0	0
NW_022144777.1	19372	3819	0.20	0	17
NW_022144777.1_region	0	0	0.00	0	0
NW_022144778.1	19224	2173	0.11	0	38
NW_022144778.1_region	1185	0	0.00	0	0
NW_022144779.1	18924	1191	0.06	0	18
NW_022144779.1_region	4515	0	0.00	0	0
NW_022144780.1	18903	2038	0.11	0	22
NW_022144780.1_region	0	0	0.00	0	0
NW_022144781.1	18719	2449	0.13	0	10
NW_022144781.1_region	0	0	0.00	0	0
NW_022144782.1	18716	2982	0.16	0	18
NW_022144782.1_region	0	0	0.00	0	0
NW_022144783.1	18557	3196	0.17	0	14
NW_022144783.1_region	312	0	0.00	0	0
NW_022144784.1	18439	1817	0.10	0	14
NW_022144784.1_region	0	0	0.00	0	0
NW_022144785.1	18330	2891	0.16	0	13
NW_022144785.1_region	0	0	0.00	0	0
NW_022144786.1	18214	2835	0.16	0	14
NW_022144786.1_region	0	0	0.00	0	0
NW_022144787.1	18153	3883	0.21	0	100
NW_022144787.1_region	0	0	0.00	0	0
NW_022144788.1	17951	2298	0.13	0	8
NW_022144788.1_region	0	0	0.00	0	0
NW_022144789.1	17798	6036	0.34	0	44
NW_022144789.1_region	0	0	0.00	0	0
NW_022144790.1	17754	1266	0.07	0	8
NW_022144790.1_region	3724	66	0.02	0	3
NW_022144791.1	17648	2340	0.13	0	16
NW_022144791.1_region	0	0	0.00	0	0
NW_022144792.1	17542	5531	0.32	0	144
NW_022144792.1_region	1403	0	0.00	0	0
NW_022144793.1	17493	2111	0.12	0	11
NW_022144793.1_region	0	0	0.00	0	0
NW_022144794.1	17213	3492	0.20	0	16
NW_022144794.1_region	0	0	0.00	0	0
NW_022144795.1	17172	1751	0.10	0	16
NW_022144795.1_region	0	0	0.00	0	0
NW_022144796.1	17039	2528	0.15	0	22
NW_022144796.1_region	894	114	0.13	0	6
NW_022144797.1	17012	4236	0.25	0	23
NW_022144797.1_region	0	0	0.00	0	0
NW_022144798.1	16271	2462	0.15	0	10
NW_022144798.1_region	0	0	0.00	0	0
NW_022144799.1	16212	3884	0.24	0	13
