chrom	length	bases	mean	min	max
NW_022144746.1	64836	115	0.00	0	2
NW_022144746.1_region	0	0	0.00	0	0
NW_022144747.1	60028	230	0.00	0	4
NW_022144747.1_region	0	0	0.00	0	0
NW_022144748.1	57988	2013	0.03	0	12
NW_022144748.1_region	939	0	0.00	0	0
NW_022144749.1	56950	114	0.00	0	6
NW_022144749.1_region	0	0	0.00	0	0
NW_022144750.1	47351	118	0.00	0	2
NW_022144750.1_region	0	0	0.00	0	0
NW_022144751.1	44134	2454	0.06	0	16
NW_022144751.1_region	4170	85	0.02	0	2
NW_022144753.1	32290	3190	0.10	0	14
NW_022144753.1_region	819	0	0.00	0	0
NW_022144754.1	30490	247	0.01	0	2
NW_022144754.1_region	0	0	0.00	0	0
NW_022144755.1	29101	2610	0.09	0	18
NW_022144755.1_region	0	0	0.00	0	0
NW_022144756.1	26146	2531	0.10	0	12
NW_022144756.1_region	0	0	0.00	0	0
NW_022144757.1	25658	2342	0.09	0	8
NW_022144757.1_region	2781	51	0.02	0	2
NW_022144758.1	25340	1687	0.07	0	14
NW_022144758.1_region	0	0	0.00	0	0
NW_022144759.1	25179	1942	0.08	0	8
NW_022144759.1_region	8430	310	0.04	0	8
NW_022144760.1	24030	2046	0.09	0	12
NW_022144760.1_region	996	0	0.00	0	0
NW_022144761.1	23711	4467	0.19	0	36
NW_022144761.1_region	0	0	0.00	0	0
NW_022144762.1	23070	1508	0.07	0	8
NW_022144762.1_region	1032	7	0.01	0	1
NW_022144763.1	22953	2444	0.11	0	12
NW_022144763.1_region	2952	152	0.05	0	8
NW_022144764.1	22620	2485	0.11	0	20
NW_022144764.1_region	2640	0	0.00	0	0
NW_022144765.1	22433	38	0.00	0	2
NW_022144765.1_region	11148	0	0.00	0	0
NW_022144766.1	21973	1795	0.08	0	22
NW_022144766.1_region	0	0	0.00	0	0
NW_022144767.1	21667	2485	0.11	0	12
NW_022144767.1_region	0	0	0.00	0	0
NW_022144768.1	21625	2783	0.13	0	10
NW_022144768.1_region	0	0	0.00	0	0
NW_022144769.1	21387	3343	0.16	0	16
NW_022144769.1_region	0	0	0.00	0	0
NW_022144770.1	21139	1774	0.08	0	9
NW_022144770.1_region	3847	0	0.00	0	0
NW_022144771.1	21068	2122	0.10	0	12
NW_022144771.1_region	0	0	0.00	0	0
NW_022144772.1	21005	2821	0.13	0	16
NW_022144772.1_region	0	0	0.00	0	0
NW_022144773.1	20784	2283	0.11	0	10
NW_022144773.1_region	0	0	0.00	0	0
NW_022144774.1	20670	1247	0.06	0	8
NW_022144774.1_region	0	0	0.00	0	0
NW_022144775.1	20129	2219	0.11	0	14
NW_022144775.1_region	0	0	0.00	0	0
NW_022144776.1	19833	3084	0.16	0	31
NW_022144776.1_region	1593	76	0.05	0	4
NW_022144777.1	19372	2609	0.13	0	12
NW_022144777.1_region	0	0	0.00	0	0
NW_022144778.1	19224	1116	0.06	0	10
NW_022144778.1_region	1185	0	0.00	0	0
NW_022144779.1	18924	1090	0.06	0	22
NW_022144779.1_region	4515	0	0.00	0	0
NW_022144780.1	18903	1456	0.08	0	8
NW_022144780.1_region	0	0	0.00	0	0
NW_022144781.1	18719	1749	0.09	0	14
NW_022144781.1_region	0	0	0.00	0	0
NW_022144782.1	18716	1885	0.10	0	12
NW_022144782.1_region	0	0	0.00	0	0
NW_022144783.1	18557	1608	0.09	0	6
NW_022144783.1_region	312	0	0.00	0	0
NW_022144784.1	18439	1565	0.08	0	10
NW_022144784.1_region	0	0	0.00	0	0
NW_022144785.1	18330	2994	0.16	0	18
NW_022144785.1_region	0	0	0.00	0	0
NW_022144786.1	18214	1559	0.09	0	10
NW_022144786.1_region	0	0	0.00	0	0
NW_022144787.1	18153	2744	0.15	0	11
NW_022144787.1_region	0	0	0.00	0	0
NW_022144788.1	17951	1349	0.08	0	6
NW_022144788.1_region	0	0	0.00	0	0
NW_022144789.1	17798	2251	0.13	0	15
NW_022144789.1_region	0	0	0.00	0	0
NW_022144790.1	17754	1721	0.10	0	22
NW_022144790.1_region	3724	359	0.10	0	12
NW_022144791.1	17648	2093	0.12	0	14
NW_022144791.1_region	0	0	0.00	0	0
NW_022144792.1	17542	1246	0.07	0	6
NW_022144792.1_region	1403	80	0.06	0	4
NW_022144793.1	17493	1689	0.10	0	18
NW_022144793.1_region	0	0	0.00	0	0
NW_022144794.1	17213	1956	0.11	0	16
NW_022144794.1_region	0	0	0.00	0	0
NW_022144795.1	17172	1500	0.09	0	13
NW_022144795.1_region	0	0	0.00	0	0
NW_022144796.1	17039	2722	0.16	0	15
NW_022144796.1_region	894	0	0.00	0	0
NW_022144797.1	17012	3968	0.23	0	43
NW_022144797.1_region	0	0	0.00	0	0
NW_022144798.1	16271	1818	0.11	0	10
NW_022144798.1_region	0	0	0.00	0	0
NW_022144799.1	16212	2242	0.14	0	11
NW_022144799.1_region	1650	196	0.12	0	6
NW_022144800.1	16196	574	0.04	0	4
NW_022144800.1_region	0	0	0.00	0	0
NW_022144801.1	16082	2639	0.16	0	14
NW_022144801.1_region	0	0	0.00	0	0
NW_022144802.1	16073	2986	0.19	0	35
NW_022144802.1_region	0	0	0.00	0	0
NW_022144803.1	15882	988	0.06	0	6
NW_022144803.1_region	0	0	0.00	0	0
NW_022144804.1	15872	1162	0.07	0	8
NW_022144804.1_region	1277	0	0.00	0	0
NW_022144805.1	15755	810	0.05	0	9
NW_022144805.1_region	0	0	0.00	0	0
NW_022144806.1	15729	2571	0.16	0	16
NW_022144806.1_region	0	0	0.00	0	0
NW_022144807.1	15717	847	0.05	0	11
NW_022144807.1_region	0	0	0.00	0	0
NW_022144808.1	15697	1722	0.11	0	11
NW_022144808.1_region	0	0	0.00	0	0
NW_022144809.1	15254	1718	0.11	0	12
NW_022144809.1_region	624	0	0.00	0	0
NW_022144810.1	15245	1649	0.11	0	12
NW_022144810.1_region	0	0	0.00	0	0
NW_022144811.1	15184	765	0.05	0	6
NW_022144811.1_region	1176	24	0.02	0	2
NW_022144812.1	15180	651	0.04	0	8
NW_022144812.1_region	0	0	0.00	0	0
NW_022144813.1	64470	1238565	19.21	0	518
NW_022144813.1_region	2668	222229	83.29	1	216
NW_022144814.1	20273	2771	0.14	0	26
NW_022144814.1_region	0	0	0.00	0	0
NW_022144815.1	19793	2534	0.13	0	51
NW_022144815.1_region	0	0	0.00	0	0
NW_022144816.1	18134	1646	0.09	0	18
NW_022144816.1_region	555	0	0.00	0	0
NW_022144817.1	17838	3073	0.17	0	29
NW_022144817.1_region	0	0	0.00	0	0
NW_022144818.1	15663	3351	0.21	0	67
NW_022144818.1_region	0	0	0.00	0	0
NW_022144819.1	25897	191175	7.38	0	206
NW_022144819.1_region	1580	74804	47.34	0	206
NW_022144820.1	14953	1835	0.12	0	11
NW_022144820.1_region	0	0	0.00	0	0
NW_022144821.1	14859	2706	0.18	0	14
NW_022144821.1_region	0	0	0.00	0	0
NW_022144822.1	14838	352	0.02	0	4
NW_022144822.1_region	0	0	0.00	0	0
NW_022144823.1	14815	1970	0.13	0	21
NW_022144823.1_region	0	0	0.00	0	0
NW_022144824.1	14806	2866	0.19	0	16
NW_022144824.1_region	0	0	0.00	0	0
NW_022144825.1	14766	1496	0.10	0	12
NW_022144825.1_region	0	0	0.00	0	0
NW_022144826.1	14747	1737	0.12	0	10
NW_022144826.1_region	0	0	0.00	0	0
NW_022144827.1	14741	1428	0.10	0	6
NW_022144827.1_region	0	0	0.00	0	0
NW_022144828.1	14710	1447	0.10	0	8
NW_022144828.1_region	1104	40	0.04	0	2
NW_022144829.1	14707	1313	0.09	0	24
NW_022144829.1_region	0	0	0.00	0	0
NW_022144830.1	14679	1437	0.10	0	7
NW_022144830.1_region	549	76	0.14	0	4
NW_022144831.1	14604	1497	0.10	0	8
NW_022144831.1_region	0	0	0.00	0	0
NW_022144832.1	14536	1918	0.13	0	14
NW_022144832.1_region	0	0	0.00	0	0
NW_022144833.1	14472	2710	0.19	0	15
NW_022144833.1_region	0	0	0.00	0	0
NW_022144834.1	14424	1864	0.13	0	15
NW_022144834.1_region	0	0	0.00	0	0
NW_022144835.1	14392	55224	3.84	0	181
NW_022144835.1_region	0	0	0.00	0	0
NW_022144836.1	14366	1992	0.14	0	16
NW_022144836.1_region	0	0	0.00	0	0
NW_022144837.1	14316	2314	0.16	0	16
NW_022144837.1_region	474	0	0.00	0	0
NW_022144838.1	14178	2177	0.15	0	8
NW_022144838.1_region	557	109	0.20	0	6
NW_022144839.1	14036	1487	0.11	0	8
NW_022144839.1_region	0	0	0.00	0	0
NW_022144840.1	13984	1475	0.11	0	11
NW_022144840.1_region	0	0	0.00	0	0
NW_022144841.1	13922	1588	0.11	0	10
NW_022144841.1_region	642	0	0.00	0	0
NW_022144842.1	13691	7210	0.53	0	139
NW_022144842.1_region	765	0	0.00	0	0
NW_022144843.1	13690	1077	0.08	0	8
NW_022144843.1_region	825	0	0.00	0	0
NW_022144844.1	13628	557	0.04	0	8
NW_022144844.1_region	975	0	0.00	0	0
NW_022144845.1	13496	2300	0.17	0	11
NW_022144845.1_region	0	0	0.00	0	0
NW_022144846.1	13451	837	0.06	0	6
NW_022144846.1_region	0	0	0.00	0	0
NW_022144847.1	13443	5869	0.44	0	200
NW_022144847.1_region	0	0	0.00	0	0
NW_022144848.1	13325	715	0.05	0	8
NW_022144848.1_region	0	0	0.00	0	0
NW_022144849.1	13232	981	0.07	0	10
NW_022144849.1_region	501	0	0.00	0	0
NW_022144850.1	13217	302	0.02	0	4
NW_022144850.1_region	0	0	0.00	0	0
NW_022144851.1	13037	2786	0.21	0	22
NW_022144851.1_region	0	0	0.00	0	0
NW_022144852.1	13005	758	0.06	0	11
NW_022144852.1_region	0	0	0.00	0	0
NW_022144853.1	12874	206	0.02	0	2
NW_022144853.1_region	0	0	0.00	0	0
NW_022144854.1	12677	1691	0.13	0	13
NW_022144854.1_region	0	0	0.00	0	0
NW_022144855.1	12615	1088	0.09	0	8
NW_022144855.1_region	0	0	0.00	0	0
NW_022144856.1	12598	680	0.05	0	4
NW_022144856.1_region	0	0	0.00	0	0
NW_022144857.1	12436	580	0.05	0	8
NW_022144857.1_region	0	0	0.00	0	0
NW_022144858.1	12426	1222	0.10	0	10
NW_022144858.1_region	0	0	0.00	0	0
NW_022144859.1	12331	1917	0.16	0	10
NW_022144859.1_region	690	0	0.00	0	0
NW_022144860.1	12325	1168	0.09	0	13
NW_022144860.1_region	0	0	0.00	0	0
NW_022144861.1	12317	1286	0.10	0	13
NW_022144861.1_region	0	0	0.00	0	0
NW_022144862.1	12297	1309	0.11	0	10
NW_022144862.1_region	657	0	0.00	0	0
NW_022144863.1	12291	4120	0.34	0	66
NW_022144863.1_region	0	0	0.00	0	0
NW_022144864.1	12247	1411	0.12	0	10
NW_022144864.1_region	0	0	0.00	0	0
NW_022144865.1	12235	880	0.07	0	15
NW_022144865.1_region	495	312	0.63	0	15
NW_022144866.1	12202	1196	0.10	0	10
NW_022144866.1_region	0	0	0.00	0	0
NW_022144867.1	12165	745	0.06	0	10
NW_022144867.1_region	0	0	0.00	0	0
NW_022144868.1	12125	1194	0.10	0	8
NW_022144868.1_region	0	0	0.00	0	0
NW_022144869.1	12087	29769	2.46	0	51
NW_022144869.1_region	0	0	0.00	0	0
NW_022144870.1	11997	1131	0.09	0	11
NW_022144870.1_region	0	0	0.00	0	0
NW_022144871.1	11989	2205	0.18	0	17
NW_022144871.1_region	0	0	0.00	0	0
NW_022144872.1	11899	3370	0.28	0	18
NW_022144872.1_region	0	0	0.00	0	0
NW_022144873.1	11852	1154	0.10	0	11
NW_022144873.1_region	1830	132	0.07	0	2
NW_022144874.1	11838	1093	0.09	0	7
NW_022144874.1_region	0	0	0.00	0	0
NW_022144875.1	11825	892	0.08	0	9
NW_022144875.1_region	469	34	0.07	0	2
NW_022144876.1	11673	3960	0.34	0	53
NW_022144876.1_region	0	0	0.00	0	0
NW_022144877.1	11635	1303	0.11	0	12
NW_022144877.1_region	0	0	0.00	0	0
NW_022144878.1	11630	861	0.07	0	9
NW_022144878.1_region	1896	42	0.02	0	6
NW_022144879.1	11539	2105	0.18	0	13
NW_022144879.1_region	0	0	0.00	0	0
NW_022144880.1	11518	2192	0.19	0	10
NW_022144880.1_region	0	0	0.00	0	0
NW_022144881.1	11448	1364	0.12	0	10
NW_022144881.1_region	0	0	0.00	0	0
NW_022144882.1	11400	2067	0.18	0	24
NW_022144882.1_region	0	0	0.00	0	0
NW_022144883.1	11312	576	0.05	0	6
NW_022144883.1_region	0	0	0.00	0	0
NW_022144884.1	11268	837	0.07	0	6
NW_022144884.1_region	0	0	0.00	0	0
NW_022144885.1	11127	1691	0.15	0	14
NW_022144885.1_region	0	0	0.00	0	0
NW_022144886.1	74569	953011	12.78	0	770
NW_022144886.1_region	0	0	0.00	0	0
NW_022144887.1	11069	876	0.08	0	14
NW_022144887.1_region	0	0	0.00	0	0
NW_022144888.1	11058	1507	0.14	0	8
NW_022144888.1_region	0	0	0.00	0	0
NW_022144889.1	11056	1268	0.11	0	8
NW_022144889.1_region	0	0	0.00	0	0
NW_022144890.1	10990	1448	0.13	0	10
NW_022144890.1_region	957	0	0.00	0	0
NW_022144891.1	10968	1138	0.10	0	8
NW_022144891.1_region	0	0	0.00	0	0
NW_022144892.1	10910	472	0.04	0	6
NW_022144892.1_region	0	0	0.00	0	0
NW_022144893.1	10903	1420	0.13	0	18
NW_022144893.1_region	0	0	0.00	0	0
NW_022144894.1	10814	798	0.07	0	12
