chrom	length	bases	mean	min	max
NW_022144746.1	64836	289	0.00	0	7
NW_022144746.1_region	0	0	0.00	0	0
NW_022144747.1	60028	1417	0.02	0	8
NW_022144747.1_region	0	0	0.00	0	0
NW_022144748.1	57988	6717	0.12	0	64
NW_022144748.1_region	939	0	0.00	0	0
NW_022144749.1	56950	360	0.01	0	10
NW_022144749.1_region	0	0	0.00	0	0
NW_022144750.1	47351	176	0.00	0	3
NW_022144750.1_region	0	0	0.00	0	0
NW_022144751.1	44134	8607	0.20	0	22
NW_022144751.1_region	4170	496	0.12	0	8
NW_022144752.1	38760	393	0.01	0	18
NW_022144752.1_region	0	0	0.00	0	0
NW_022144753.1	32290	11142	0.35	0	68
NW_022144753.1_region	819	114	0.14	0	4
NW_022144754.1	30490	402	0.01	0	8
NW_022144754.1_region	0	0	0.00	0	0
NW_022144755.1	29101	11002	0.38	0	24
NW_022144755.1_region	0	0	0.00	0	0
NW_022144756.1	26146	15250	0.58	0	160
NW_022144756.1_region	0	0	0.00	0	0
NW_022144757.1	25658	7261	0.28	0	16
NW_022144757.1_region	2781	502	0.18	0	12
NW_022144758.1	25340	6221	0.25	0	20
NW_022144758.1_region	0	0	0.00	0	0
NW_022144759.1	25179	6478	0.26	0	75
NW_022144759.1_region	8430	2665	0.32	0	75
NW_022144760.1	24030	7175	0.30	0	109
NW_022144760.1_region	996	0	0.00	0	0
NW_022144761.1	23711	11520	0.49	0	24
NW_022144761.1_region	0	0	0.00	0	0
NW_022144762.1	23070	5685	0.25	0	43
NW_022144762.1_region	1032	134	0.13	0	4
NW_022144763.1	22953	14641	0.64	0	404
NW_022144763.1_region	2952	348	0.12	0	4
NW_022144764.1	22620	9307	0.41	0	44
NW_022144764.1_region	2640	137	0.05	0	6
NW_022144765.1	22433	1172	0.05	0	6
NW_022144765.1_region	11148	473	0.04	0	2
NW_022144766.1	21973	8143	0.37	0	26
NW_022144766.1_region	0	0	0.00	0	0
NW_022144767.1	21667	10301	0.48	0	33
NW_022144767.1_region	0	0	0.00	0	0
NW_022144768.1	21625	7475	0.35	0	16
NW_022144768.1_region	0	0	0.00	0	0
NW_022144769.1	21387	6232	0.29	0	19
NW_022144769.1_region	0	0	0.00	0	0
NW_022144770.1	21139	5363	0.25	0	18
NW_022144770.1_region	3847	150	0.04	0	6
NW_022144771.1	21068	8609	0.41	0	26
NW_022144771.1_region	0	0	0.00	0	0
NW_022144772.1	21005	8679	0.41	0	48
NW_022144772.1_region	0	0	0.00	0	0
NW_022144773.1	20784	6103	0.29	0	38
NW_022144773.1_region	0	0	0.00	0	0
NW_022144774.1	20670	6278	0.30	0	28
NW_022144774.1_region	0	0	0.00	0	0
NW_022144775.1	20129	5783	0.29	0	16
NW_022144775.1_region	0	0	0.00	0	0
NW_022144776.1	19833	12173	0.61	0	158
NW_022144776.1_region	1593	965	0.61	0	20
NW_022144777.1	19372	7658	0.40	0	28
NW_022144777.1_region	0	0	0.00	0	0
NW_022144778.1	19224	2672	0.14	0	12
NW_022144778.1_region	1185	76	0.06	0	4
NW_022144779.1	18924	2618	0.14	0	22
NW_022144779.1_region	4515	0	0.00	0	0
NW_022144780.1	18903	5205	0.28	0	26
NW_022144780.1_region	0	0	0.00	0	0
NW_022144781.1	18719	5782	0.31	0	30
NW_022144781.1_region	0	0	0.00	0	0
NW_022144782.1	18716	8328	0.44	0	47
NW_022144782.1_region	0	0	0.00	0	0
NW_022144783.1	18557	7224	0.39	0	22
NW_022144783.1_region	312	3	0.01	0	3
NW_022144784.1	18439	3067	0.17	0	12
NW_022144784.1_region	0	0	0.00	0	0
NW_022144785.1	18330	8701	0.47	0	29
NW_022144785.1_region	0	0	0.00	0	0
NW_022144786.1	18214	4055	0.22	0	21
NW_022144786.1_region	0	0	0.00	0	0
NW_022144787.1	18153	4130	0.23	0	16
NW_022144787.1_region	0	0	0.00	0	0
NW_022144788.1	17951	11913	0.66	0	276
NW_022144788.1_region	0	0	0.00	0	0
NW_022144789.1	17798	18133	1.02	0	289
NW_022144789.1_region	0	0	0.00	0	0
NW_022144790.1	17754	3886	0.22	0	18
NW_022144790.1_region	3724	184	0.05	0	8
NW_022144791.1	17648	5276	0.30	0	54
NW_022144791.1_region	0	0	0.00	0	0
NW_022144792.1	17542	8019	0.46	0	40
NW_022144792.1_region	1403	292	0.21	0	6
NW_022144793.1	17493	5133	0.29	0	19
NW_022144793.1_region	0	0	0.00	0	0
NW_022144794.1	17213	6655	0.39	0	18
NW_022144794.1_region	0	0	0.00	0	0
NW_022144795.1	17172	4285	0.25	0	30
NW_022144795.1_region	0	0	0.00	0	0
NW_022144796.1	17039	6445	0.38	0	22
NW_022144796.1_region	894	57	0.06	0	2
NW_022144797.1	17012	6534	0.38	0	32
NW_022144797.1_region	0	0	0.00	0	0
