chrom	length	bases	mean	min	max
NW_022144746.1	64836	40	0.00	0	2
NW_022144746.1_region	0	0	0.00	0	0
NW_022144747.1	60028	530	0.01	0	14
NW_022144747.1_region	0	0	0.00	0	0
NW_022144748.1	57988	4185	0.07	0	16
NW_022144748.1_region	939	16	0.02	0	1
NW_022144750.1	47351	171	0.00	0	9
NW_022144750.1_region	0	0	0.00	0	0
NW_022144751.1	44134	6270	0.14	0	31
NW_022144751.1_region	4170	550	0.13	0	6
NW_022144752.1	38760	247	0.01	0	8
NW_022144752.1_region	0	0	0.00	0	0
NW_022144753.1	32290	4718	0.15	0	17
NW_022144753.1_region	819	0	0.00	0	0
NW_022144754.1	30490	177	0.01	0	6
NW_022144754.1_region	0	0	0.00	0	0
NW_022144755.1	29101	31283	1.07	0	1278
NW_022144755.1_region	0	0	0.00	0	0
NW_022144756.1	26146	16026	0.61	0	118
NW_022144756.1_region	0	0	0.00	0	0
NW_022144757.1	25658	5178	0.20	0	24
NW_022144757.1_region	2781	558	0.20	0	24
NW_022144758.1	25340	1825	0.07	0	16
NW_022144758.1_region	0	0	0.00	0	0
NW_022144759.1	25179	3667	0.15	0	16
NW_022144759.1_region	8430	1329	0.16	0	16
NW_022144760.1	24030	6069	0.25	0	110
NW_022144760.1_region	996	0	0.00	0	0
NW_022144761.1	23711	5181	0.22	0	60
NW_022144761.1_region	0	0	0.00	0	0
NW_022144762.1	23070	5403	0.23	0	45
NW_022144762.1_region	1032	88	0.09	0	2
NW_022144763.1	22953	3561	0.16	0	17
NW_022144763.1_region	2952	154	0.05	0	3
NW_022144764.1	22620	3856	0.17	0	12
NW_022144764.1_region	2640	240	0.09	0	12
NW_022144765.1	22433	889	0.04	0	20
NW_022144765.1_region	11148	76	0.01	0	2
NW_022144766.1	21973	6242	0.28	0	28
NW_022144766.1_region	0	0	0.00	0	0
NW_022144767.1	21667	4855	0.22	0	28
NW_022144767.1_region	0	0	0.00	0	0
NW_022144768.1	21625	3232	0.15	0	19
NW_022144768.1_region	0	0	0.00	0	0
NW_022144769.1	21387	3942	0.18	0	48
NW_022144769.1_region	0	0	0.00	0	0
NW_022144770.1	21139	1911	0.09	0	14
NW_022144770.1_region	3847	0	0.00	0	0
NW_022144771.1	21068	5879	0.28	0	43
NW_022144771.1_region	0	0	0.00	0	0
NW_022144772.1	21005	3696	0.18	0	19
NW_022144772.1_region	0	0	0.00	0	0
NW_022144773.1	20784	3486	0.17	0	18
NW_022144773.1_region	0	0	0.00	0	0
NW_022144774.1	20670	3844	0.19	0	22
NW_022144774.1_region	0	0	0.00	0	0
NW_022144775.1	20129	3272	0.16	0	20
NW_022144775.1_region	0	0	0.00	0	0
NW_022144776.1	19833	6062	0.31	0	82
NW_022144776.1_region	1593	246	0.15	0	8
NW_022144777.1	19372	3814	0.20	0	14
NW_022144777.1_region	0	0	0.00	0	0
NW_022144778.1	19224	1422	0.07	0	12
NW_022144778.1_region	1185	82	0.07	0	4
NW_022144779.1	18924	813	0.04	0	10
NW_022144779.1_region	4515	76	0.02	0	2
