chrom	length	bases	mean	min	max
NW_022144746.1	64836	20	0.00	0	1
NW_022144746.1_region	0	0	0.00	0	0
NW_022144747.1	60028	813	0.01	0	10
NW_022144747.1_region	0	0	0.00	0	0
NW_022144748.1	57988	3910	0.07	0	20
NW_022144748.1_region	939	0	0.00	0	0
NW_022144751.1	44134	4003	0.09	0	10
NW_022144751.1_region	4170	41	0.01	0	2
NW_022144753.1	32290	3953	0.12	0	14
NW_022144753.1_region	819	0	0.00	0	0
NW_022144754.1	30490	472	0.02	0	4
NW_022144754.1_region	0	0	0.00	0	0
NW_022144755.1	29101	4833	0.17	0	24
NW_022144755.1_region	0	0	0.00	0	0
NW_022144756.1	26146	5529	0.21	0	30
NW_022144756.1_region	0	0	0.00	0	0
NW_022144757.1	25658	4250	0.17	0	10
NW_022144757.1_region	2781	66	0.02	0	3
NW_022144758.1	25340	2324	0.09	0	16
NW_022144758.1_region	0	0	0.00	0	0
NW_022144759.1	25179	3773	0.15	0	12
NW_022144759.1_region	8430	803	0.10	0	6
NW_022144760.1	24030	2781	0.12	0	18
NW_022144760.1_region	996	0	0.00	0	0
NW_022144761.1	23711	5076	0.21	0	24
NW_022144761.1_region	0	0	0.00	0	0
NW_022144762.1	23070	14180	0.61	0	574
NW_022144762.1_region	1032	0	0.00	0	0
NW_022144763.1	22953	2327	0.10	0	10
NW_022144763.1_region	2952	0	0.00	0	0
NW_022144764.1	22620	3584	0.16	0	21
NW_022144764.1_region	2640	135	0.05	0	2
NW_022144765.1	22433	532	0.02	0	14
NW_022144765.1_region	11148	76	0.01	0	14
NW_022144766.1	21973	3721	0.17	0	12
NW_022144766.1_region	0	0	0.00	0	0
NW_022144767.1	21667	5099	0.24	0	17
NW_022144767.1_region	0	0	0.00	0	0
NW_022144768.1	21625	5042	0.23	0	80
NW_022144768.1_region	0	0	0.00	0	0
NW_022144769.1	21387	3315	0.16	0	10
NW_022144769.1_region	0	0	0.00	0	0
NW_022144770.1	21139	3057	0.14	0	14
NW_022144770.1_region	3847	148	0.04	0	6
NW_022144771.1	21068	3419	0.16	0	32
NW_022144771.1_region	0	0	0.00	0	0
NW_022144772.1	21005	4532	0.22	0	30
NW_022144772.1_region	0	0	0.00	0	0
NW_022144773.1	20784	2969	0.14	0	10
NW_022144773.1_region	0	0	0.00	0	0
NW_022144774.1	20670	3289	0.16	0	12
NW_022144774.1_region	0	0	0.00	0	0
NW_022144775.1	20129	2802	0.14	0	16
NW_022144775.1_region	0	0	0.00	0	0
NW_022144776.1	19833	3409	0.17	0	12
NW_022144776.1_region	1593	0	0.00	0	0
NW_022144777.1	19372	4904	0.25	0	17
NW_022144777.1_region	0	0	0.00	0	0
NW_022144778.1	19224	2639	0.14	0	12
NW_022144778.1_region	1185	220	0.19	0	10
NW_022144779.1	18924	904	0.05	0	6
NW_022144779.1_region	4515	0	0.00	0	0
NW_022144780.1	18903	2674	0.14	0	16
NW_022144780.1_region	0	0	0.00	0	0
NW_022144781.1	18719	3178	0.17	0	16
NW_022144781.1_region	0	0	0.00	0	0
NW_022144782.1	18716	2823	0.15	0	14
NW_022144782.1_region	0	0	0.00	0	0
NW_022144783.1	18557	2615	0.14	0	10
NW_022144783.1_region	312	0	0.00	0	0
NW_022144784.1	18439	2591	0.14	0	12
NW_022144784.1_region	0	0	0.00	0	0
NW_022144785.1	18330	4245	0.23	0	49
NW_022144785.1_region	0	0	0.00	0	0
NW_022144786.1	18214	2011	0.11	0	14
NW_022144786.1_region	0	0	0.00	0	0
NW_022144787.1	18153	3465	0.19	0	14
NW_022144787.1_region	0	0	0.00	0	0
NW_022144788.1	17951	3862	0.22	0	14
NW_022144788.1_region	0	0	0.00	0	0
NW_022144789.1	17798	4874	0.27	0	24
NW_022144789.1_region	0	0	0.00	0	0
NW_022144790.1	17754	2070	0.12	0	20
NW_022144790.1_region	3724	146	0.04	0	4
NW_022144791.1	17648	2138	0.12	0	8
NW_022144791.1_region	0	0	0.00	0	0
NW_022144792.1	17542	4359	0.25	0	70
NW_022144792.1_region	1403	38	0.03	0	2
NW_022144793.1	17493	2285	0.13	0	10
NW_022144793.1_region	0	0	0.00	0	0
NW_022144794.1	17213	3530	0.21	0	14
NW_022144794.1_region	0	0	0.00	0	0
NW_022144795.1	17172	2183	0.13	0	12
NW_022144795.1_region	0	0	0.00	0	0
NW_022144796.1	17039	4725	0.28	0	10
NW_022144796.1_region	894	0	0.00	0	0
NW_022144797.1	17012	3688	0.22	0	20
NW_022144797.1_region	0	0	0.00	0	0
NW_022144798.1	16271	3433	0.21	0	16
NW_022144798.1_region	0	0	0.00	0	0
NW_022144799.1	16212	4327	0.27	0	85
NW_022144799.1_region	1650	58	0.04	0	2
NW_022144800.1	16196	2011	0.12	0	9
NW_022144800.1_region	0	0	0.00	0	0
NW_022144801.1	16082	5922	0.37	0	54
NW_022144801.1_region	0	0	0.00	0	0
NW_022144802.1	16073	5666	0.35	0	20
NW_022144802.1_region	0	0	0.00	0	0
NW_022144803.1	15882	2731	0.17	0	14
NW_022144803.1_region	0	0	0.00	0	0
NW_022144804.1	15872	2660	0.17	0	10
NW_022144804.1_region	1277	78	0.06	0	2
NW_022144805.1	15755	1587	0.10	0	11
NW_022144805.1_region	0	0	0.00	0	0
NW_022144806.1	15729	3088	0.20	0	10
NW_022144806.1_region	0	0	0.00	0	0
NW_022144807.1	15717	918	0.06	0	6
NW_022144807.1_region	0	0	0.00	0	0
NW_022144808.1	15697	2538	0.16	0	8
NW_022144808.1_region	0	0	0.00	0	0
NW_022144809.1	15254	2728	0.18	0	11
NW_022144809.1_region	624	160	0.26	0	8
NW_022144810.1	15245	2925	0.19	0	14
NW_022144810.1_region	0	0	0.00	0	0
NW_022144811.1	15184	2289	0.15	0	17
NW_022144811.1_region	1176	52	0.04	0	2
NW_022144812.1	15180	3473	0.23	0	29
NW_022144812.1_region	0	0	0.00	0	0
NW_022144813.1	64470	625502	9.70	0	864
NW_022144813.1_region	2668	7403	2.77	0	21
NW_022144814.1	20273	3607	0.18	0	22
NW_022144814.1_region	0	0	0.00	0	0
NW_022144815.1	19793	3791	0.19	0	12
NW_022144815.1_region	0	0	0.00	0	0
NW_022144816.1	18134	2881	0.16	0	10
NW_022144816.1_region	555	0	0.00	0	0
NW_022144817.1	17838	2391	0.13	0	14
NW_022144817.1_region	0	0	0.00	0	0
NW_022144818.1	15663	3598	0.23	0	22
NW_022144818.1_region	0	0	0.00	0	0
NW_022144819.1	25897	222482	8.59	0	215
NW_022144819.1_region	1580	61302	38.80	0	215
NW_022144820.1	14953	2445	0.16	0	14
NW_022144820.1_region	0	0	0.00	0	0
NW_022144821.1	14859	4346	0.29	0	16
NW_022144821.1_region	0	0	0.00	0	0
NW_022144822.1	14838	481	0.03	0	4
NW_022144822.1_region	0	0	0.00	0	0
NW_022144823.1	14815	3970	0.27	0	50
NW_022144823.1_region	0	0	0.00	0	0
NW_022144824.1	14806	4546	0.31	0	18
NW_022144824.1_region	0	0	0.00	0	0
NW_022144825.1	14766	1915	0.13	0	12
NW_022144825.1_region	0	0	0.00	0	0
NW_022144826.1	14747	3056	0.21	0	14
NW_022144826.1_region	0	0	0.00	0	0
NW_022144827.1	14741	2515	0.17	0	10
NW_022144827.1_region	0	0	0.00	0	0
NW_022144828.1	14710	2102	0.14	0	11
NW_022144828.1_region	1104	20	0.02	0	1
NW_022144829.1	14707	3116	0.21	0	44
NW_022144829.1_region	0	0	0.00	0	0
NW_022144830.1	14679	3647	0.25	0	16
NW_022144830.1_region	549	0	0.00	0	0
NW_022144831.1	14604	3234	0.22	0	44
NW_022144831.1_region	0	0	0.00	0	0
NW_022144832.1	14536	2439	0.17	0	10
NW_022144832.1_region	0	0	0.00	0	0
NW_022144833.1	14472	3253	0.22	0	42
NW_022144833.1_region	0	0	0.00	0	0
NW_022144834.1	14424	3368	0.23	0	46
NW_022144834.1_region	0	0	0.00	0	0
NW_022144835.1	14392	76113	5.29	0	162
NW_022144835.1_region	0	0	0.00	0	0
NW_022144836.1	14366	4102	0.29	0	22
NW_022144836.1_region	0	0	0.00	0	0
NW_022144837.1	14316	2368	0.17	0	13
NW_022144837.1_region	474	0	0.00	0	0
NW_022144838.1	14178	3900	0.28	0	18
NW_022144838.1_region	557	24	0.04	0	6
NW_022144839.1	14036	4337	0.31	0	14
NW_022144839.1_region	0	0	0.00	0	0
NW_022144840.1	13984	2067	0.15	0	12
NW_022144840.1_region	0	0	0.00	0	0
NW_022144841.1	13922	2111	0.15	0	16
NW_022144841.1_region	642	0	0.00	0	0
NW_022144842.1	13691	9977	0.73	0	131
NW_022144842.1_region	765	0	0.00	0	0
NW_022144843.1	13690	1935	0.14	0	12
NW_022144843.1_region	825	0	0.00	0	0
NW_022144844.1	13628	1776	0.13	0	9
NW_022144844.1_region	975	84	0.09	0	4
NW_022144845.1	13496	2871	0.21	0	16
NW_022144845.1_region	0	0	0.00	0	0
NW_022144846.1	13451	1711	0.13	0	12
NW_022144846.1_region	0	0	0.00	0	0
NW_022144847.1	13443	3586	0.27	0	13
NW_022144847.1_region	0	0	0.00	0	0
NW_022144848.1	13325	2289	0.17	0	14
NW_022144848.1_region	0	0	0.00	0	0
NW_022144849.1	13232	2733	0.21	0	14
NW_022144849.1_region	501	0	0.00	0	0
NW_022144850.1	13217	968	0.07	0	6
NW_022144850.1_region	0	0	0.00	0	0
NW_022144851.1	13037	2569	0.20	0	15
NW_022144851.1_region	0	0	0.00	0	0
NW_022144852.1	13005	1873	0.14	0	10
NW_022144852.1_region	0	0	0.00	0	0
NW_022144854.1	12677	2111	0.17	0	15
NW_022144854.1_region	0	0	0.00	0	0
NW_022144855.1	12615	1985	0.16	0	13
NW_022144855.1_region	0	0	0.00	0	0
NW_022144856.1	12598	1565	0.12	0	12
NW_022144856.1_region	0	0	0.00	0	0
NW_022144857.1	12436	2401	0.19	0	46
NW_022144857.1_region	0	0	0.00	0	0
NW_022144858.1	12426	1702	0.14	0	8
NW_022144858.1_region	0	0	0.00	0	0
